type;length_km;installation_year;location_type
TXSE 3x1x240 Al;0.6433993984;2004;semi-urban
TXSE 3x1x240 Al;0.3998080064;2004;semi-urban
TXSE 1x3x240 Al;0.7362313728000001;2011;semi-urban
TXSE 1x3x240 Al;0.1920368736;2000;semi-urban
FeAl 35;0.3473426557015774;1966;semi-urban
FeAl 35;0.1953575372247506;1964;semi-urban
FeAl 35;0.5978667833759588;1964;semi-urban
FeAl 35;0.48400242517385156;1964;semi-urban
FeAl 35;0.4575725456431564;1964;semi-urban
FeAl 35;0.32942778921785937;1964;semi-urban
FeAl 35;0.6905293084710499;1964;semi-urban
FeAl 35;0.8266896501707048;1964;semi-urban
FeAl 35;0.3507267045364675;1964;semi-urban
FeAl 35;0.060666975054084644;1964;semi-urban
FeAl 35;0.4831394094673139;1964;semi-urban
FeAl 35;0.8416685323290423;1966;semi-urban
FeAl 35;0.08616667153417537;1964;semi-urban
FeAl 35;0.3133652927229612;1964;semi-urban
FeAl 35;0.4146744374677597;1966;semi-urban
FeAl 35;0.5417183643968824;1964;semi-urban
FeAl 35;0.27964531049135694;1966;semi-urban
FeAl 35;0.18385677581176077;1966;semi-urban
FeAl 35;0.30247524615266197;1964;semi-urban
TXSP 3x1x95 Al;0.006473500141607816;2005;semi-urban
TXSP 3x1x95 Al;0.009619500210426568;2005;semi-urban
TXSE 1x3x95 Al;0.5374882130075547;1990;semi-urban
fictitious line;0.0005614399887712002;2005;semi-urban
fictitious line;0.00018730799625384006;2013;semi-urban
fictitious line;0.00023812799523744007;2005;semi-urban
TXSE 1x3x95 Al;0.9024688397415059;1990;semi-urban
TXSP 3x1x95 Al;0.004356000095287502;2005;semi-urban
TXSP 3x1x95 Al;0.005717250125064847;2005;semi-urban
TXSP 3x1x95 Al;0.11305544497308787;2005;semi-urban
FeAl 35;0.4317835780384087;1964;semi-urban
FeAl 35;0.338878347414337;1964;semi-urban
FeAl 35;0.33198908512388753;1964;semi-urban
fictitious line;0.00021102399577952008;2014;semi-urban
fictitious line;0.00020327999593440006;2005;semi-urban
TXSE 3x1x150 Al;0.4988371844660194;1998;semi-urban
TXSE 1x3x95 Al;0.049599564834990485;1990;semi-urban
TXSE 1x3x50 Al;0.2713751870938066;1991;semi-urban
TXSE 1x3x150 Al;0.212614386407767;1986;semi-urban
TXSP 1x3x95 Cu;0.00313471496093855;1999;semi-urban
fictitious line;0.00017181999656360006;2005;semi-urban
fictitious line;0.00033589599328208013;2008;semi-urban
TXSE 1x3x95 Al;0.20603048575691688;1998;semi-urban
TXSE 1x3x95 Al;0.4624120976152647;1999;semi-urban
FeAl 25;0.061316919074984995;1968;semi-urban
FeAl 25;0.48887136856911806;1968;semi-urban
FeAl 25;0.5352555501531459;1981;semi-urban
TXSE 3x1x50 Al;0.5781231494685257;1991;semi-urban
TXSP 1x3x95 Cu;0.003861968831876294;1992;semi-urban
EXCEL 3x10 Cu;0.11312494706864877;2016;semi-urban
EXCEL 3x10 Cu;0.29279634852992187;2016;semi-urban
fictitious line;0.0002734599945308001;2005;semi-urban
TXSP 3x1x95 Al;0.004431625096941799;2005;semi-urban
fictitious line;0.00017181999656360006;2005;semi-urban
TXSE 3x1x240 Al;0.1258849152;2004;semi-urban
fictitious line;0.0002342559953148801;2005;semi-urban
fictitious line;0.00017278799654424004;2013;semi-urban
TXSE 1x3x50 Al;0.041341832006598224;1991;semi-urban
TXSE 1x3x50 Al;0.023127499258100592;1986;semi-urban
TXSE 3x1x240 Al;0.2826436096;2004;semi-urban
FeAl 25;0.49465035549303615;1972;semi-urban
TXSE 1x3x95 Al;0.5902213754110925;1990;semi-urban
