type;main_type;R_ohm_per_km;X_ohm_per_km;Cd_nF_per_km;Imax_A
BLX 50;Overhead line (1–22 kV);0.360000014;0.297470599;11.74587935;245
Cu 16;Overhead line (1–22 kV);1.126999974;0.333341211;10.47949777;115
FeAl 25;Overhead line (1–22 kV);0.723999977;0.333698779;10.46825149;235
FeAl 35;Overhead line (1–22 kV);0.514500022;0.32298401;10.81609632;287
EXCEL 3x10 Cu;Overhead line (1–22 kV);1.830000043;0.119000003;100.6426856;81
TSWP 1x3x25 Al;Underground cable (1–22 kV);1.200000048;0.150000006;190.0000045;115
TXSP 1x3x95 Cu;Underground cable (1–22 kV);0.193000004;0.119999997;199.9999965;312
TXSP 3x1x95 Al;Underground cable (1–22 kV);0.319999993;0.200000003;199.9999965;295
TXSE 3x1x25 Al;Underground cable (1–22 kV);1.200000048;0.230000004;139.9999963;145
TXSE 3x1x50 Al;Underground cable (1–22 kV);0.640999973;0.209999993;160.0000045;200
TXSE 3x1x95 Al;Underground cable (1–22 kV);0.319999993;0.200000003;199.9999965;295
TXSE 3x1x150 Al;Underground cable (1–22 kV);0.206;0.189999998;229.9999965;370
TXSE 3x1x240 Al;Underground cable (1–22 kV);0.125;0.180000007;300.0000008;465
TXSE 1x3x25 Al;Underground cable (1–22 kV);1.200000048;0.150000006;139.9999963;115
TXSE 1x3x50 Al;Underground cable (1–22 kV);0.640999973;0.140000001;160.0000045;170
TXSE 1x3x95 Al;Underground cable (1–22 kV);0.319999993;0.119999997;199.9999965;240
TXSE 1x3x150 Al;Underground cable (1–22 kV);0.206;0.119999997;229.9999965;310
TXSE 1x3x240 Al;Underground cable (1–22 kV);0.125;0.109999999;279.9999926;400
TSLE 3x1x150 Al;Underground cable (1–22 kV);0.206;0.189999998;229.9999965;370
TSLE 1x3x95 Al;Underground cable (1–22 kV);0.319999993;0.119999997;199.9999965;240
TSLF 3x1x95 Aq;Underground cable (1–22 kV);0.319999993;0.200000003;199.9999965;295
TSLF 3x1x240 Aq;Underground cable (1–22 kV);0.125;0.180000007;279.9999926;465
FXCEL 1x3x16 Cu;Underground cable (1–22 kV);1.149999976;0.312000006;229.1831181;85
fictitious line;Underground cable (1–22 kV);0.100000002;0.100000002;0;999
