ID,City,Region,Price_area,Demand_data
18,Oslo,Oslo,NO1,Yes
19,Trondheim,Trondheim,NO3,No
20,Bergen,Bergen,NO5,No
23,Bergen,Bergen,NO5,Yes
24,Trondheim,Trondheim,NO3,No
25,Trondheim,Trondheim,NO3,No
26,Oslo,Oslo,NO1,No
27,Trondheim,Trondheim,NO3,No
28,Trondheim,Trondheim,NO3,No
29,Trondheim,Trondheim,NO3,No
30,Oslo,Oslo,NO1,Yes
31,Oslo,Oslo,NO1,Yes
32,Bergen,Bergen,NO5,No
33,Trondheim,Trondheim,NO3,No
34,Oslo,Oslo,NO1,Yes
35,Trondheim,Trondheim,NO3,No
36,Trondheim,Trondheim,NO3,No
39,Oslo,Oslo,NO1,Yes
40,Oslo,Oslo,NO1,No
42,Bergen,Bergen,NO5,No
44,Oslo,Oslo,NO1,Yes
46,Oslo,Oslo,NO1,No
47,Oslo,Oslo,NO1,No
48,Trondheim,Trondheim,NO3,No
50,Oslo,Oslo,NO1,Yes
51,Bergen,Bergen,NO5,No
52,Bergen,Bergen,NO5,No
55,Oslo,Oslo,NO1,No
56,Trondheim,Trondheim,NO3,No
57,Oslo,Oslo,NO1,No
60,Trondheim,Trondheim,NO3,No
61,Bergen,Bergen,NO5,Yes
62,Bergen,Bergen,NO5,Yes
63,Oslo,Oslo,NO1,Yes
64,Oslo,Oslo,NO1,Yes
65,Oslo,Oslo,NO1,No
66,Oslo,Oslo,NO1,No
67,Oslo,Oslo,NO1,Yes
68,Oslo,Oslo,NO1,Yes
69,Bergen,Bergen,NO5,No
70,Oslo,Oslo,NO1,Yes
71,Bergen,Bergen,NO5,No
72,Oslo,Oslo,NO1,Yes
74,Trondheim,Trondheim,NO3,No
75,Bergen,Bergen,NO5,Yes
76,Oslo,Oslo,NO1,Yes
79,Oslo,Oslo,NO1,No
80,Trondheim,Trondheim,NO3,No
81,Oslo,Oslo,NO1,No
82,Trondheim,Trondheim,NO3,No
83,Trondheim,Trondheim,NO3,No
84,Oslo,Oslo,NO1,No
85,Bergen,Bergen,NO5,Yes
86,Oslo,Oslo,NO1,No
87,Oslo,Oslo,NO1,No
88,Oslo,Oslo,NO1,Yes
89,Tromsø,Tromsø,NO4,No
90,Oslo,Oslo,NO1,No
92,Oslo,Oslo,NO1,Yes
93,Trondheim,Trondheim,NO3,No
94,Bergen,Bergen,NO5,No
95,Tromsø,Tromsø,NO4,No
96,Bergen,Bergen,NO5,Yes
98,Oslo,Oslo,NO1,No
100,Oslo,Oslo,NO1,Yes
101,Oslo,Oslo,NO1,No
102,Oslo,Oslo,NO1,No
103,Bergen,Bergen,NO5,No
106,Oslo,Oslo,NO1,No
107,Oslo,Oslo,NO1,Yes
109,Bergen,Bergen,NO5,Yes
110,Oslo,Oslo,NO1,No
111,Tromsø,Tromsø,NO4,No
113,Bergen,Bergen,NO5,No
114,Trondheim,Trondheim,NO3,No
115,Oslo,Oslo,NO1,Yes
118,Bergen,Bergen,NO5,No
119,Oslo,Oslo,NO1,Yes
121,Oslo,Oslo,NO1,No
123,Oslo,Oslo,NO1,No
124,Trondheim,Trondheim,NO3,No
125,Trondheim,Trondheim,NO3,No
126,Oslo,Oslo,NO1,No
127,Trondheim,Trondheim,NO3,No
