Time(Local);Production;Consumption
01.01.2023 00:00:00 +01:00;10780;16459
01.01.2023 01:00:00 +01:00;10200;16547
01.01.2023 02:00:00 +01:00;9357;16522
01.01.2023 03:00:00 +01:00;8900;16442
01.01.2023 04:00:00 +01:00;8789;16406
01.01.2023 05:00:00 +01:00;8844;16614
01.01.2023 06:00:00 +01:00;8616;16469
01.01.2023 07:00:00 +01:00;8730;16539
01.01.2023 08:00:00 +01:00;8769;16710
01.01.2023 09:00:00 +01:00;9359;16906
01.01.2023 10:00:00 +01:00;9824;17375
01.01.2023 11:00:00 +01:00;10845;17881
01.01.2023 12:00:00 +01:00;11276;17856
01.01.2023 13:00:00 +01:00;11657;17966
01.01.2023 14:00:00 +01:00;11609;18093
01.01.2023 15:00:00 +01:00;12935;18832
01.01.2023 16:00:00 +01:00;14881;19374
01.01.2023 17:00:00 +01:00;14963;19464
01.01.2023 18:00:00 +01:00;14429;19260
01.01.2023 19:00:00 +01:00;14403;19122
01.01.2023 20:00:00 +01:00;14101;18693
01.01.2023 21:00:00 +01:00;14221;18752
01.01.2023 22:00:00 +01:00;13936;18576
01.01.2023 23:00:00 +01:00;13410;18078
02.01.2023 00:00:00 +01:00;13655;17934
02.01.2023 01:00:00 +01:00;13555;17876
02.01.2023 02:00:00 +01:00;13050;17699
02.01.2023 03:00:00 +01:00;12937;17537
02.01.2023 04:00:00 +01:00;13223;17541
02.01.2023 05:00:00 +01:00;13333;17874
02.01.2023 06:00:00 +01:00;14776;18992
02.01.2023 07:00:00 +01:00;18111;20391
02.01.2023 08:00:00 +01:00;19025;20525
02.01.2023 09:00:00 +01:00;19245;20582
02.01.2023 10:00:00 +01:00;18926;20615
02.01.2023 11:00:00 +01:00;20149;20763
02.01.2023 12:00:00 +01:00;20640;20675
02.01.2023 13:00:00 +01:00;19811;20532
02.01.2023 14:00:00 +01:00;20045;20487
02.01.2023 15:00:00 +01:00;20836;20648
02.01.2023 16:00:00 +01:00;21299;20705
02.01.2023 17:00:00 +01:00;21631;20474
02.01.2023 18:00:00 +01:00;22041;20356
02.01.2023 19:00:00 +01:00;21288;20079
02.01.2023 20:00:00 +01:00;20215;19884
02.01.2023 21:00:00 +01:00;18777;19738
02.01.2023 22:00:00 +01:00;17665;19347
02.01.2023 23:00:00 +01:00;16583;18945
03.01.2023 00:00:00 +01:00;16169;18476
03.01.2023 01:00:00 +01:00;14609;17835
03.01.2023 02:00:00 +01:00;14173;17652
03.01.2023 03:00:00 +01:00;13605;17582
03.01.2023 04:00:00 +01:00;13832;17742
03.01.2023 05:00:00 +01:00;15015;18087
03.01.2023 06:00:00 +01:00;17748;19146
03.01.2023 07:00:00 +01:00;20741;20350
03.01.2023 08:00:00 +01:00;21044;20568
03.01.2023 09:00:00 +01:00;21188;20806
03.01.2023 10:00:00 +01:00;21420;20792
03.01.2023 11:00:00 +01:00;21101;20392
03.01.2023 12:00:00 +01:00;20875;20478
03.01.2023 13:00:00 +01:00;21255;20513
03.01.2023 14:00:00 +01:00;22351;20610
03.01.2023 15:00:00 +01:00;22718;20742
03.01.2023 16:00:00 +01:00;23216;20975
03.01.2023 17:00:00 +01:00;24123;20982
03.01.2023 18:00:00 +01:00;23631;20682
03.01.2023 19:00:00 +01:00;22533;20472
03.01.2023 20:00:00 +01:00;21028;20256
03.01.2023 21:00:00 +01:00;19185;20029
03.01.2023 22:00:00 +01:00;17468;19651
03.01.2023 23:00:00 +01:00;15706;19016
04.01.2023 00:00:00 +01:00;14782;18522
04.01.2023 01:00:00 +01:00;14073;18282
04.01.2023 02:00:00 +01:00;13290;18036
04.01.2023 03:00:00 +01:00;13171;18015
04.01.2023 04:00:00 +01:00;13396;18145
04.01.2023 05:00:00 +01:00;13578;18420
04.01.2023 06:00:00 +01:00;15131;19478
04.01.2023 07:00:00 +01:00;17465;20709
04.01.2023 08:00:00 +01:00;18136;21119
04.01.2023 09:00:00 +01:00;19223;21370
04.01.2023 10:00:00 +01:00;19552;21151
04.01.2023 11:00:00 +01:00;19329;21221
04.01.2023 12:00:00 +01:00;19342;21220
04.01.2023 13:00:00 +01:00;19904;21312
04.01.2023 14:00:00 +01:00;19390;21214
04.01.2023 15:00:00 +01:00;19198;21323
04.01.2023 16:00:00 +01:00;19174;21378
04.01.2023 17:00:00 +01:00;19286;21141
04.01.2023 18:00:00 +01:00;19087;20903
04.01.2023 19:00:00 +01:00;18561;20653
04.01.2023 20:00:00 +01:00;18017;20373
04.01.2023 21:00:00 +01:00;17296;19992
04.01.2023 22:00:00 +01:00;16470;19621
04.01.2023 23:00:00 +01:00;14716;19118
05.01.2023 00:00:00 +01:00;13821;18634
05.01.2023 01:00:00 +01:00;13610;18327
05.01.2023 02:00:00 +01:00;13305;18183
05.01.2023 03:00:00 +01:00;12973;18036
05.01.2023 04:00:00 +01:00;13091;18049
05.01.2023 05:00:00 +01:00;14148;18478
05.01.2023 06:00:00 +01:00;16325;19541
05.01.2023 07:00:00 +01:00;19066;20821
05.01.2023 08:00:00 +01:00;20393;21251
05.01.2023 09:00:00 +01:00;21755;21195
05.01.2023 10:00:00 +01:00;22689;21286
05.01.2023 11:00:00 +01:00;23118;20773
05.01.2023 12:00:00 +01:00;23068;20761
05.01.2023 13:00:00 +01:00;22880;20616
05.01.2023 14:00:00 +01:00;23508;20568
05.01.2023 15:00:00 +01:00;24851;20973
05.01.2023 16:00:00 +01:00;25240;21116
05.01.2023 17:00:00 +01:00;25245;20943
05.01.2023 18:00:00 +01:00;25131;20571
05.01.2023 19:00:00 +01:00;25080;20278
05.01.2023 20:00:00 +01:00;24579;20036
05.01.2023 21:00:00 +01:00;23636;19797
05.01.2023 22:00:00 +01:00;22518;19434
05.01.2023 23:00:00 +01:00;19532;18847
06.01.2023 00:00:00 +01:00;17457;18336
06.01.2023 01:00:00 +01:00;16152;18091
06.01.2023 02:00:00 +01:00;15285;18052
06.01.2023 03:00:00 +01:00;14536;18070
06.01.2023 04:00:00 +01:00;14356;18047
06.01.2023 05:00:00 +01:00;14574;18538
06.01.2023 06:00:00 +01:00;16301;19729
06.01.2023 07:00:00 +01:00;18570;21100
06.01.2023 08:00:00 +01:00;21083;21789
06.01.2023 09:00:00 +01:00;20901;21741
06.01.2023 10:00:00 +01:00;20705;21804
06.01.2023 11:00:00 +01:00;20698;21483
06.01.2023 12:00:00 +01:00;20638;21221
06.01.2023 13:00:00 +01:00;19728;20876
06.01.2023 14:00:00 +01:00;20934;20797
06.01.2023 15:00:00 +01:00;22366;20846
06.01.2023 16:00:00 +01:00;23092;20813
06.01.2023 17:00:00 +01:00;23819;20573
06.01.2023 18:00:00 +01:00;23561;20245
06.01.2023 19:00:00 +01:00;22748;19781
06.01.2023 20:00:00 +01:00;21473;19568
06.01.2023 21:00:00 +01:00;21034;19194
06.01.2023 22:00:00 +01:00;20499;18723
06.01.2023 23:00:00 +01:00;18778;18020
07.01.2023 00:00:00 +01:00;16251;17559
07.01.2023 01:00:00 +01:00;14759;17607
07.01.2023 02:00:00 +01:00;14097;17503
07.01.2023 03:00:00 +01:00;13028;17030
07.01.2023 04:00:00 +01:00;12851;16866
07.01.2023 05:00:00 +01:00;13064;16938
07.01.2023 06:00:00 +01:00;13721;17192
07.01.2023 07:00:00 +01:00;15576;17519
07.01.2023 08:00:00 +01:00;16371;18042
07.01.2023 09:00:00 +01:00;17165;18659
07.01.2023 10:00:00 +01:00;16954;19036
07.01.2023 11:00:00 +01:00;16539;19279
07.01.2023 12:00:00 +01:00;16338;19156
07.01.2023 13:00:00 +01:00;16044;19084
07.01.2023 14:00:00 +01:00;16423;19148
07.01.2023 15:00:00 +01:00;16728;19048
07.01.2023 16:00:00 +01:00;17426;19281
07.01.2023 17:00:00 +01:00;17866;19387
07.01.2023 18:00:00 +01:00;18199;19136
07.01.2023 19:00:00 +01:00;17015;18651
07.01.2023 20:00:00 +01:00;15480;18260
07.01.2023 21:00:00 +01:00;14017;17777
07.01.2023 22:00:00 +01:00;12806;17497
07.01.2023 23:00:00 +01:00;11884;17233
08.01.2023 00:00:00 +01:00;10734;16805
08.01.2023 01:00:00 +01:00;10357;16507
08.01.2023 02:00:00 +01:00;10252;16166
08.01.2023 03:00:00 +01:00;9968;16047
08.01.2023 04:00:00 +01:00;10201;15999
08.01.2023 05:00:00 +01:00;10355;15920
08.01.2023 06:00:00 +01:00;10398;15990
08.01.2023 07:00:00 +01:00;10319;16080
08.01.2023 08:00:00 +01:00;11672;16469
08.01.2023 09:00:00 +01:00;13850;16854
08.01.2023 10:00:00 +01:00;15978;17173
08.01.2023 11:00:00 +01:00;16770;17149
08.01.2023 12:00:00 +01:00;16894;17299
08.01.2023 13:00:00 +01:00;16978;17368
08.01.2023 14:00:00 +01:00;17302;17391
08.01.2023 15:00:00 +01:00;17717;17860
08.01.2023 16:00:00 +01:00;19447;18396
08.01.2023 17:00:00 +01:00;20207;18050
08.01.2023 18:00:00 +01:00;19396;17529
08.01.2023 19:00:00 +01:00;18707;17605
08.01.2023 20:00:00 +01:00;18075;17659
08.01.2023 21:00:00 +01:00;17663;17459
08.01.2023 22:00:00 +01:00;17408;16871
08.01.2023 23:00:00 +01:00;15096;16205
09.01.2023 00:00:00 +01:00;13097;15641
09.01.2023 01:00:00 +01:00;12021;15479
09.01.2023 02:00:00 +01:00;11250;15414
09.01.2023 03:00:00 +01:00;10582;15352
09.01.2023 04:00:00 +01:00;11265;15409
09.01.2023 05:00:00 +01:00;13877;15858
09.01.2023 06:00:00 +01:00;17741;17051
09.01.2023 07:00:00 +01:00;22097;18573
09.01.2023 08:00:00 +01:00;23615;18788
09.01.2023 09:00:00 +01:00;23727;18415
09.01.2023 10:00:00 +01:00;23452;18175
09.01.2023 11:00:00 +01:00;24052;18523
09.01.2023 12:00:00 +01:00;23259;18474
09.01.2023 13:00:00 +01:00;23064;18429
09.01.2023 14:00:00 +01:00;23954;18487
09.01.2023 15:00:00 +01:00;24205;18715
09.01.2023 16:00:00 +01:00;24593;18891
09.01.2023 17:00:00 +01:00;25144;18805
09.01.2023 18:00:00 +01:00;24996;18491
09.01.2023 19:00:00 +01:00;24308;18293
09.01.2023 20:00:00 +01:00;23652;18073
09.01.2023 21:00:00 +01:00;22254;17743
09.01.2023 22:00:00 +01:00;20609;17190
09.01.2023 23:00:00 +01:00;17872;16660
10.01.2023 00:00:00 +01:00;16262;16069
10.01.2023 01:00:00 +01:00;14456;15693
10.01.2023 02:00:00 +01:00;14308;15516
10.01.2023 03:00:00 +01:00;14068;15521
10.01.2023 04:00:00 +01:00;14326;15576
10.01.2023 05:00:00 +01:00;16646;15911
10.01.2023 06:00:00 +01:00;20799;17217
10.01.2023 07:00:00 +01:00;23303;18320
10.01.2023 08:00:00 +01:00;23838;18731
10.01.2023 09:00:00 +01:00;23677;18709
10.01.2023 10:00:00 +01:00;23610;18626
10.01.2023 11:00:00 +01:00;22607;18529
10.01.2023 12:00:00 +01:00;21917;18549
10.01.2023 13:00:00 +01:00;21754;18474
10.01.2023 14:00:00 +01:00;22155;18539
10.01.2023 15:00:00 +01:00;22876;18727
10.01.2023 16:00:00 +01:00;23181;18985
10.01.2023 17:00:00 +01:00;23171;18851
10.01.2023 18:00:00 +01:00;21603;18473
10.01.2023 19:00:00 +01:00;19744;18445
10.01.2023 20:00:00 +01:00;17304;18186
10.01.2023 21:00:00 +01:00;15705;17923
10.01.2023 22:00:00 +01:00;14005;17448
10.01.2023 23:00:00 +01:00;12444;17069
11.01.2023 00:00:00 +01:00;11538;16599
11.01.2023 01:00:00 +01:00;10724;16235
11.01.2023 02:00:00 +01:00;10124;16050
11.01.2023 03:00:00 +01:00;9788;15824
11.01.2023 04:00:00 +01:00;9460;15634
11.01.2023 05:00:00 +01:00;10862;15984
11.01.2023 06:00:00 +01:00;13656;17036
11.01.2023 07:00:00 +01:00;17444;18431
11.01.2023 08:00:00 +01:00;19715;18499
11.01.2023 09:00:00 +01:00;20862;18561
11.01.2023 10:00:00 +01:00;20739;18300
