,resistive_heating
0,305.75305700731644
1,300.0843460537363
2,299.9903868328734
3,290.8814159988065
4,283.5692363707113
5,285.6702695069799
6,268.32896651190674
7,275.6690692960818
8,274.0088177134444
9,257.57957610468014
10,263.0531236653947
11,291.434836701886
12,305.4856299528428
13,339.31028275520606
14,341.81863769212237
15,286.4279339328204
16,290.1452221160087
17,322.0346263253363
18,318.3725477743796
19,318.3390752499857
20,306.2229971458193
21,309.96335879008615
22,287.8663787565767
23,274.9407354706182
24,270.44133222776907
25,275.537210815693
26,268.4929056075116
27,264.89026531791734
28,263.65583096107235
29,291.9725286473325
30,286.94121283827855
31,278.529423234054
32,251.29654822988002
33,269.50167529397913
34,289.22077467803723
35,296.2240949281319
36,303.3714953831274
37,308.4652122023342
38,285.7019105613549
39,297.31842224585114
40,303.87671521545343
41,296.75639265927566
42,311.47186879587434
43,314.8892379011438
44,302.4381977684121
45,287.69699624780486
46,273.4317438075002
47,304.67308944498575
48,278.0576154997794
49,265.1553307574955
50,286.70159968110227
51,265.5899321059773
52,262.24711319599817
53,287.1242759763823
54,291.6088707451796
55,282.4901111504987
56,261.1521820666358
57,274.0426027690788
58,299.25294811606085
59,304.3377565905217
60,314.134205513724
61,314.21584649692267
62,308.6766276598263
63,319.77797755803465
64,345.17059390964914
65,370.4393631227963
66,385.34847109409446
67,362.2744157166035
68,374.6247625346872
69,366.94730327181367
70,357.36110466504556
71,370.33445953292636
72,347.8426660584764
73,326.3612741549738
74,316.2206978365226
75,320.30354955495795
76,315.3674829711687
77,343.66897501610737
78,322.4453719539205
79,343.35983117267
80,378.2787292730074
81,387.7768113465547
82,375.99040480418813
83,380.5732406671415
84,400.98503265069877
85,366.8264528261273
86,355.1416426092543
87,351.7882136959694
88,364.4512952095714
89,385.00153751804544
90,389.7981816654831
91,377.81269041316057
92,354.41953121687675
93,371.92146302318275
94,355.3480936575373
95,353.83616399841884
96,371.73544498594515
97,362.1031311386713
98,357.9343878354595
99,342.17924196636045
100,338.8602476770677
101,366.88854134107214
102,342.66789327305247
103,391.1360578229898
104,405.6544312981508
105,430.92313604754014
106,435.5852786731807
107,435.6846236280785
108,398.3690243275238
109,399.0744314376253
110,387.01458224174155
111,378.15518541807864
112,396.2161305250059
113,411.69023420824584
114,427.0219601842506
115,412.7001375741633
116,434.51231426671376
117,425.343275893244
118,415.74062663424695
119,434.4107198154535
120,420.12038909631707
121,398.5080070976948
122,405.03935058522194
123,407.438771108789
124,399.47106369734894
125,431.288126899346
126,412.6112679872571
127,446.3834750531244
128,454.2230455808423
129,487.6778778199656
130,460.5481377577855
131,473.0467092120529
132,501.92094716931507
133,469.55555759069887
134,477.83635710610446
135,451.0831321882078
136,420.1500475794279
137,440.1970106006098
138,455.81802117024614
139,460.43260780555994
140,420.55825010217
141,418.86358139774586
142,414.23421068911784
143,408.3862586905363
144,445.651743990026
145,418.95618765993805
146,379.45721475982003
147,380.5505222119689
148,376.16148550063224
149,390.2631796376649
150,375.1739066215486
151,405.89411102039134
152,428.4527959076634
153,426.0424503565185
154,429.616895637648
155,477.02348880027216
156,489.5868647380741
157,484.6683156724619
158,450.9610906358431
159,425.87652531174024
160,428.5944611288211
161,413.06844871039243
162,438.1820279238567
163,431.90095087852023
164,418.28894293806593
165,431.5488187569696
166,423.5121650559749
167,407.03210068317713
168,411.8897136049178
169,388.6629795421798
170,374.7583859317843
171,357.481500228144
172,353.75288094517794
173,377.5366373233895
174,354.2452625565238
175,384.2472171966396
176,419.92495788897753
177,430.68062892230535
178,428.12966631350633
179,434.5403528448336
180,419.4129205024154
181,432.42440698746384
182,417.16417904763597
183,400.1829386149623
184,391.08420149133036
185,392.79894835800724
186,418.05402432176373
187,408.3673439839014
188,389.0079455213412
189,379.70169411301333
190,358.64093430880166
191,371.41348750848795
192,395.0496028924931
193,392.80456042778843
194,392.5122244516581
195,390.6379746101855
196,351.19222056594225
197,384.15368512759557
198,389.81461896466277
199,395.2744009708893
200,359.7791278463477
201,352.48513271072153
202,360.52028414351366
203,394.2559204874748
204,446.0308283771241
205,458.65108360754283
206,422.2657395810497
207,395.3264105991494
208,385.4010470124062
209,408.3535374933723
210,403.8780825721141
211,420.1883801138594
212,397.60653437647625
213,382.2585454863381
214,361.15830513535144
215,384.43068122776697
216,367.8252675404903
217,357.9241086528198
218,338.49328142351516
219,344.3765865021525
220,333.8671070466692
221,363.4736067706219
222,360.044056902503
223,349.33749717820297
224,332.07475492863904
225,356.67966652051587
226,385.494135944988
227,387.7028198998691
228,414.8881830548781
229,408.47385517740884
230,434.85851417378365
231,384.7876943050519
232,415.18806041436727
233,483.95750842153916
234,477.24212312074667
235,451.03888064547243
236,456.3432986240788
237,433.4472263238697
238,449.109615356318
239,449.4424222056249
240,430.06547247716935
241,421.81342503130145
242,393.91789217385866
243,392.9931535862129
244,406.5458479488169
245,408.8931133135668
246,381.97708426204935
247,401.9330858271631
248,427.70456850188344
249,431.5509138698472
250,452.90191069266916
251,460.18020161142704
252,447.9102948300376
253,433.7425074487708
254,440.40027307480756
255,440.4538804482702
256,421.77722994621195
257,414.8321247385243
258,430.8379622199411
259,392.96674274003084
260,381.58322954207324
261,389.3344882004971
262,381.67863364961556
263,415.8864201072457
264,404.2489399832083
265,381.4608167856871
266,387.20006492789565
267,394.3525911045036
268,386.8444737842942
269,407.4623207774433
270,406.34990075264625
271,405.9716337333713
272,451.9840636037534
273,448.01394759009486
274,450.85359097124626
275,453.4438055128271
276,424.984255546318
277,454.1567689381174
278,407.8655739718362
279,410.49390581411024
280,406.2372795125251
281,422.7405990599803
282,438.2714293451739
283,433.2395034622847
284,428.57947934230447
285,432.5834460574641
286,407.84119909169476
287,405.9481330555113
288,404.2623070983506
289,380.57004839578775
290,389.7309068110524
291,382.83901668104295
292,386.207610279763
293,388.8902784873421
294,365.5584384829101
295,387.93565355908305
296,437.7757404117751
297,448.1378033213784
