,pv_installed_capacity
0,4.070895522388059
1,4.686486486486486
2,4.070895522388059
3,6.202127659574468
4,2.780487804878049
5,3.4193912063134158
6,3.8071428571428574
7,6.756035578144854
8,12.162198391420912
9,6.518656716417912
10,3.406779661016949
11,1.9671794871794872
12,12.05470737913486
13,2.2513089005235605
14,2.6935687263556116
15,6.518656716417912
16,12.05470737913486
17,1.9784172661870503
18,1.9784172661870503
19,6.756035578144854
20,8.704710144927535
21,4.99184339314845
22,3.6277173913043477
23,5.998716302952503
24,9.291169451073985
25,2.1800766283524906
26,2.9076655052264813
27,2.1800766283524906
28,3.189473684210526
29,0.3530303030303031
30,1.468869123252859
31,8.464506172839506
32,4.570680628272251
33,1.0600858369098711
34,1.0600858369098711
35,6.149214659685864
36,3.9822616407982263
37,2.780487804878049
38,2.6935687263556116
39,3.9822616407982263
40,2.282413350449294
41,3.4298584298584296
42,3.736641221374046
43,2.1322207958921697
44,4.203726708074534
45,0.3530303030303031
46,12.162198391420912
47,5.998716302952503
48,6.91203104786546
49,3.4298584298584296
50,2.5692124105011933
51,4.686486486486486
52,1.9168081494057727
53,4.99184339314845
54,14.617048346055977
55,1.7391304347826089
56,2.5449477351916374
57,5.760563380281691
58,2.9076655052264813
59,3.6277173913043477
60,8.464506172839506
61,2.1800766283524906
62,3.8380634390651087
63,3.8380634390651087
64,2.780487804878049
65,1.0600858369098711
66,4.142517814726841
67,2.7357052096569245
68,2.767105263157895
69,2.6013986013986017
70,3.647509578544061
71,2.8149405772495757
72,9.025125628140703
73,2.5692124105011933
74,4.3629976580796255
75,1.1044025157232704
76,4.686486486486486
77,3.416666666666668
78,4.088484848484848
79,5.892806770098731
80,3.8380634390651087
81,5.517374517374517
82,4.431226765799257
83,5.064935064935065
84,2.093457943925234
85,3.9822616407982263
86,2.1800766283524906
87,4.686486486486486
88,2.5806451612903225
89,1.9878787878787878
90,3.8380634390651087
91,14.617048346055977
92,2.093457943925234
93,1.913377192982456
94,3.057142857142857
95,2.282413350449294
96,5.760563380281689
97,4.069836552748885
98,2.093457943925234
99,6.149214659685864
100,4.070895522388059
101,3.406779661016949
102,2.780487804878049
103,3.85631067961165
104,2.5449477351916374
105,14.617048346055977
106,4.461636828644501
107,5.4847715736040605
108,0.3530303030303031
109,1.468869123252859
110,3.219696969696969
111,3.057142857142857
112,5.064935064935065
113,5.892806770098731
114,3.8071428571428574
115,1.6794871794871793
116,0.3530303030303031
117,3.057142857142857
118,6.518656716417912
119,4.3629976580796255
120,3.189473684210526
121,3.535483870967742
122,3.6277173913043477
123,3.85631067961165
124,1.8000000000000003
125,3.647509578544061
126,2.767105263157895
127,4.088484848484848
128,3.6277173913043477
129,1.9868995633187772
130,3.790865384615384
131,3.189473684210526
132,0.3530303030303031
133,2.264462809917356
134,12.157894736842104
135,5.064935064935065
136,1.9671794871794872
137,14.617048346055977
138,3.6277173913043477
139,1.7391304347826089
140,2.264462809917356
141,4.070895522388059
142,12.05470737913486
143,5.760563380281689
144,2.264462809917356
145,4.379263301500682
146,3.790865384615384
147,6.756035578144854
148,1.9868995633187772
149,4.0920881971465635
150,2.093457943925234
151,4.570680628272251
152,4.070895522388059
153,2.5806451612903225
154,3.057142857142857
155,2.5449477351916374
156,1.9671794871794872
157,5.517374517374517
158,3.406779661016949
159,2.3435114503816794
160,3.790865384615384
161,3.416666666666668
162,1.9868995633187772
163,5.688198757763974
164,1.9509269356597598
165,2.1322207958921697
166,3.219696969696969
167,12.162198391420912
168,14.617048346055977
169,1.9784172661870503
170,1.9509269356597598
171,12.162198391420912
172,1.9878787878787878
173,12.05470737913486
174,1.9868995633187772
175,1.1107871720116618
176,2.8149405772495757
177,5.4847715736040605
178,3.057142857142857
179,2.2513089005235605
180,1.9784172661870503
181,9.291169451073985
182,1.7391304347826089
183,1.913377192982456
184,2.7357052096569245
185,1.9509269356597598
186,2.5449477351916374
187,4.203726708074534
188,2.399159663865546
189,1.6794871794871793
190,5.517374517374517
191,3.9822616407982263
192,5.440217391304349
193,3.219696969696969
194,9.291169451073985
195,5.517374517374517
196,4.379263301500682
197,1.468869123252859
198,2.282413350449294
199,1.9509269356597598
