,total_demand
0,386.6320000000002
1,361.2980000000002
2,354.8410000000001
3,340.8349999999999
4,334.6779999999998
5,346.53799999999984
6,339.89000000000004
7,364.92600000000004
8,377.749
9,350.96499999999975
10,360.577
11,396.29999999999984
12,414.2569999999999
13,460.9839999999999
14,471.9459999999997
15,415.0730000000001
16,438.8890000000001
17,500.16199999999986
18,497.0920000000001
19,497.23400000000015
20,479.8580000000002
21,471.0900000000002
22,432.1450000000001
23,383.20599999999973
24,356.8789999999999
25,343.51100000000014
26,325.26800000000014
27,315.72500000000014
28,312.46799999999973
29,346.94800000000015
30,336.95499999999987
31,344.71499999999986
32,342.2710000000001
33,395.12400000000014
34,431.3090000000001
35,443.44800000000015
36,451.808
37,453.39300000000003
38,421.5909999999997
39,442.46699999999987
40,455.9200000000001
41,452.68600000000026
42,475.9280000000002
43,485.24199999999985
44,470.5899999999999
45,436.629
46,405.717
47,419.2590000000001
48,369.12099999999987
49,331.47400000000005
50,348.5040000000001
51,316.863
52,310.7450000000001
53,341.1099999999998
54,341.7649999999999
55,347.3550000000001
56,350.75299999999993
57,395.0259999999999
58,437.95299999999963
59,447.2370000000001
60,461.5570000000001
61,455.55300000000005
62,446.332
63,464.78700000000015
64,503.06499999999994
65,550.413
66,568.4720000000003
67,541.7890000000003
68,560.9209999999998
69,536.0889999999999
70,511.79499999999973
71,494.33900000000006
72,430.256
73,385.37599999999986
74,367.69500000000005
75,369.9629999999996
76,366.34399999999977
77,408.4850000000003
78,400.186
79,444.95699999999965
80,508.70000000000016
81,515.5500000000001
82,499.6509999999996
83,503.17899999999975
84,526.2170000000001
85,481.607
86,471.515
87,486.9039999999999
88,523.3759999999997
89,567.1559999999997
90,576.1880000000001
91,559.2570000000001
92,529.031
93,544.0180000000001
94,512.2280000000005
95,476.202
96,457.57900000000006
97,425.8339999999997
98,414.72400000000005
99,392.67400000000004
100,391.38200000000006
101,433.0000000000002
102,422.14500000000004
103,498.86700000000013
104,537.0579999999998
105,564.1640000000002
106,568.1239999999996
107,563.317
108,511.69400000000024
109,513.5790000000001
110,502.93799999999993
111,508.78399999999993
112,550.3960000000002
113,584.8679999999999
114,605.7700000000004
115,584.8009999999999
116,621.2529999999999
117,591.928
118,569.234
119,558.6630000000005
120,499.06399999999996
121,455.17399999999986
122,456.01999999999964
123,455.62799999999993
124,448.09699999999975
125,493.96000000000015
126,492.1330000000002
127,551.131
128,577.4979999999998
129,613.0820000000001
130,577.8549999999997
131,590.6500000000001
132,620.9609999999998
133,582.5889999999998
134,599.6530000000004
135,590.9599999999999
136,571.5869999999996
137,613.1719999999998
138,638.954
139,647.5590000000002
140,594.988
141,580.5290000000002
142,566.4030000000002
143,525.2859999999996
144,530.556
145,479.3379999999996
146,428.8150000000001
147,427.90500000000003
148,425.95899999999983
149,452.071
150,453.05799999999994
151,512.7179999999997
152,558.7599999999999
153,549.613
154,554.0709999999999
155,611.1769999999998
156,625.2260000000001
157,618.982
158,583.7289999999999
159,577.7450000000002
160,602.643
161,597.1269999999998
162,634.8050000000003
163,626.7910000000002
164,609.4190000000002
165,612.525
166,592.7410000000003
167,533.8179999999999
168,498.11499999999995
169,450.68600000000015
170,428.8579999999999
171,406.0939999999998
172,404.50600000000003
173,441.8699999999999
174,432.84300000000013
175,489.89300000000037
176,553.3059999999998
177,560.953
178,557.1260000000004
179,563.108
180,540.3079999999997
181,558.3870000000003
182,545.9029999999999
183,547.6379999999997
184,557.2029999999997
185,572.809
186,611.2020000000003
187,597.233
188,572.0170000000002
189,544.8569999999997
190,506.439
191,491.6540000000001
192,497.2549999999997
193,469.465
194,457.71900000000016
195,449.5330000000003
196,402.33800000000014
197,441.2019999999999
198,444.2479999999999
199,470.4790000000002
200,465.25699999999995
201,487.1750000000004
202,505.6060000000001
203,553.2630000000001
204,617.4209999999996
205,629.6930000000007
206,580.7049999999998
207,550.472
208,537.3790000000001
209,578.8989999999999
210,569.6970000000001
211,599.539
212,571.4969999999995
213,536.1189999999999
214,498.05699999999996
215,498.8539999999999
216,463.3970000000004
217,429.547
218,398.076
219,399.0909999999999
220,385.3239999999999
221,420.11400000000015
222,411.46
223,417.2399999999998
224,429.7419999999996
225,491.68600000000015
226,540.9359999999999
227,548.34
228,586.6899999999998
229,566.7939999999999
230,605.359
231,541.0120000000002
232,585.5960000000003
233,691.2570000000001
234,678.49
235,647.3439999999998
236,658.7050000000004
237,612.7540000000004
238,624.9820000000004
239,585.2860000000001
240,523.5959999999995
241,492.3530000000003
242,452.1860000000002
243,446.60400000000004
244,464.83000000000015
245,479.0439999999998
246,466.9390000000003
247,513.2309999999997
248,564.2540000000001
249,563.4990000000003
250,591.6340000000002
251,596.9270000000002
252,575.8699999999997
253,559.3589999999999
