,pv_installed_capacity
0,2.6354679802955663
1,3.504048582995952
2,2.6354679802955663
3,5.148614609571788
4,1.4870129870129873
5,2.8022598870056497
6,1.9004893964110932
7,4.6025236593059935
8,10.267441860465118
9,5.66711590296496
10,2.028963414634146
11,1.2164948453608246
12,8.74418604651163
13,1.1515151515151514
14,2.0672131147540984
15,5.66711590296496
16,8.74418604651163
17,1.169767441860465
18,1.169767441860465
19,4.6025236593059935
20,7.594117647058822
21,4.360927152317881
22,2.6390041493775933
23,3.327823691460055
24,8.124098124098124
25,1.60989010989011
26,2.1385199240986714
27,1.60989010989011
28,1.9126984126984126
29,0.18125
30,0.8593406593406594
31,4.6646090534979425
32,4.453051643192489
33,0.5190713101160863
34,0.5190713101160863
35,5.570715474209651
36,2.08
37,1.4870129870129873
38,2.0672131147540984
39,2.08
40,1.5069767441860464
41,2.637720488466757
42,2.1007751937984493
43,1.0030395136778114
44,3.7798594847775173
45,0.18125
46,10.267441860465118
47,3.327823691460055
48,6.378823529411765
49,2.637720488466757
50,1.170854271356784
51,3.504048582995952
52,1.3063909774436089
53,4.360927152317881
54,10.054469273743017
55,0.9559082892416227
56,1.8633540372670807
57,4.730994152046784
58,2.1385199240986714
59,2.6390041493775933
60,4.6646090534979425
61,1.60989010989011
62,2.069825436408977
63,2.069825436408977
64,1.4870129870129873
65,0.5190713101160863
66,3.4096185737976783
67,1.6984126984126984
68,1.4772727272727275
69,1.4404973357015989
70,2.0821917808219177
71,1.5263157894736843
72,6.745709828393135
73,1.170854271356784
74,2.5720524017467246
75,0.3708206686930091
76,3.504048582995952
77,2.3578595317725752
78,2.667405764966741
79,5.428353658536585
80,2.069825436408977
81,3.6232558139534885
82,3.267114093959732
83,3.7720930232558136
84,0.9506172839506174
85,2.08
86,1.60989010989011
87,3.504048582995952
88,1.12094395280236
89,0.8823529411764705
90,2.069825436408977
91,10.054469273743017
92,0.9506172839506174
93,1.6208251473477406
94,2.4955595026642987
95,1.5069767441860464
96,4.730994152046784
97,3.182819383259912
98,0.9506172839506174
99,5.570715474209651
