,resistive_heating
0,160.76499688326345
1,155.47191785999613
2,157.38316212184796
3,153.86252810082897
4,150.91935475567783
5,151.5878978935207
6,141.85322050196348
7,142.51513818130152
8,141.33207394580157
9,132.58084884365817
10,134.69155052908786
11,154.73477799392745
12,156.88052500765988
13,170.08908002874807
14,165.5534117732503
15,146.17627674520972
16,142.91637987324123
17,159.56380314118968
18,163.9284448623032
19,158.5051598144525
20,153.55476822445715
21,156.70204890255565
22,146.92580860152776
23,141.16946512057444
24,139.23232427187776
25,137.980988019396
26,134.2119469990737
27,137.33242332345867
28,133.29256344924931
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405078
33,137.31340410053897
34,146.5976110259744
35,150.48649899555195
36,152.9056066077936
37,157.51009832426578
38,143.61352375535458
39,148.4077869670507
40,151.37612454333527
41,148.57894770661372
42,159.25930858630173
43,161.37253076778944
44,153.9942241432112
45,148.4909128070271
46,142.24651906203422
47,157.29026537752037
48,139.34170464351703
49,137.6874559117268
50,148.8771655610484
51,142.76706107763206
52,137.59708667539303
53,151.51485513005295
54,151.91505228416872
55,146.47607152827138
56,138.35675292475653
57,142.986840508752
58,154.32675384039996
59,158.22757237723619
60,159.911412653433
61,152.29442274609835
62,151.14391162578474
63,165.53197045549337
64,190.68409528712442
65,195.54809116970694
66,208.1584630515653
67,193.73014134638382
68,200.546077771235
69,200.04469895644007
70,199.40298847709175
71,202.21799137916642
72,185.1502326464837
73,175.3628513294471
74,169.45520580589346
75,169.03668516955258
76,169.83476270343243
77,180.15732883792506
78,171.55145318160007
79,186.94631703005874
80,200.75823870207364
81,203.52986640652927
82,198.37496803369996
83,205.7353886957268
84,213.56852557536206
85,201.93558584171845
86,194.13848656723914
87,192.50573167087904
88,189.5050505386347
89,199.59917923957804
90,201.60557106127698
91,202.94073883383888
92,190.1231634772678
93,196.2332348302726
94,193.2644676977969
95,191.09033103646377
96,197.08668944234608
97,190.48773134950733
98,189.7567809937524
99,185.12141656209872
100,181.8177466880133
101,191.7252413198282
102,181.4417761668161
103,213.55850209766314
104,213.17037900576423
105,231.48495470949325
106,239.31527058359956
107,232.73359788345363
108,209.77836427392813
109,215.64119881700464
110,209.06381559943313
111,200.5821659236139
112,205.78871426793359
113,220.18750642634234
114,222.1263591023115
115,218.91222416531807
116,223.19223525746605
117,230.3151669738031
118,223.0018636721918
119,239.71387306359887
120,230.05103796704591
121,220.908149127812
122,219.0488601620158
123,221.33061854010668
124,213.57271106137424
125,227.2196832482339
126,221.21487668366856
127,239.22162535430076
128,237.13745726974236
129,253.72818524028366
130,248.10561806427742
131,257.8724023636243
132,264.9680735623604
133,248.39288318623156
134,252.74992965856487
135,240.76776409276994
136,224.586413826827
137,232.26339819184588
138,241.7957710220377
139,240.17265665469088
140,219.28299898207197
141,223.79991056807953
142,226.13370098748481
143,222.2733320874749
144,247.50194269677237
145,226.43982484082525
146,202.0994238441806
147,203.58692368906304
148,203.66032062879225
149,207.47421261226913
150,199.5243880087379
151,220.35675978889486
152,226.96007281111028
153,226.60736675453364
154,231.97177093671712
155,255.02122709172045
156,261.8011334023595
157,249.09042567843883
158,231.63334495430513
159,224.05740927831022
160,227.2133398505475
161,211.9976957122962
162,228.10187165925674
163,230.16391203789928
164,221.11313866100198
165,227.23481119141252
166,227.3777331373597
167,217.85245595061548
168,224.50358102432958
169,205.67211815888678
170,205.42754011609378
171,196.37693210558155
172,193.0154509439169
173,203.25427839817547
174,190.41838423163247
175,211.14248735782542
176,223.40459430209543
177,233.48595546548833
178,236.26538710641177
179,238.26913203995508
180,225.76136711196915
181,236.28248483109473
182,221.13824909743218
183,208.83185100396298
184,209.03368941627784
185,205.48335339590625
186,219.36806441489648
187,217.4453462736497
188,212.65493477500715
189,210.02422399462114
190,195.69923705366625
191,208.62151121001122
192,221.51237721111784
193,212.28897930123094
194,217.57370483213586
195,216.07900804523712
196,194.7687020105405
197,207.24241666275506
198,211.6446636281772
199,222.1467675774416
200,195.12100598700766
201,191.18503543009575
202,189.98721744750574
203,216.16890090981323
204,245.80625267504706
205,249.72311611271962
206,226.86842093227304
207,211.84729407201095
208,202.51489202907436
209,215.7824624065944
210,215.40760466625045
211,229.02214982565286
212,209.33853473041225
213,205.59530190031305
214,192.43890700199103
215,203.2072751278423
216,199.67042351310997
217,193.37103190887316
218,182.96244941408654
219,177.8375051784422
220,177.63318414105302
221,184.6420995335689
222,187.26279104852287
223,186.17758863661354
224,172.98308922148848
