,pv_installed_capacity
0,6.020961775585696
1,7.267002518891688
2,6.020961775585696
3,7.837837837837838
4,3.817934782608696
5,4.680437424058324
6,6.028142589118199
7,8.62145499383477
8,15.114864864864867
9,7.991836734693878
10,4.539109506618532
11,2.903361344537815
12,14.146631439894321
13,3.3333333333333326
14,4.402777777777778
15,7.991836734693878
16,14.146631439894321
17,3.413892908827786
18,3.413892908827786
19,8.62145499383477
20,12.214906832298134
21,6.628536285362852
22,4.243718592964823
23,9.621550591327201
24,12.09046454767726
25,3.2294264339152114
26,3.963589076723017
27,3.2294264339152114
28,4.306472919418758
29,1.5384615384615385
30,1.9973474801061004
31,12.631299734748012
32,7.721331689272503
33,2.1944106925880926
34,2.1944106925880926
35,8.614805520702634
36,8.561068702290076
37,3.817934782608696
38,4.402777777777778
39,8.561068702290076
40,3.3315649867374004
41,4.643564356435644
42,4.221945137157107
43,2.6229698375870063
44,5.6813186813186825
45,1.5384615384615385
46,15.114864864864867
47,9.6215505913272
48,9.493589743589745
49,4.643564356435644
50,3.7450110864745016
51,7.267002518891688
52,2.624178712220762
53,6.628536285362852
54,18.19096774193548
55,2.805522208883553
56,3.6337135614702154
57,6.859354838709678
58,3.963589076723017
59,4.243718592964824
60,12.631299734748012
61,3.2294264339152114
62,5.947437582128776
63,5.947437582128778
64,3.817934782608696
65,2.1944106925880926
66,5.349030470914128
67,4.388180764774043
68,4.5505443234836696
69,3.828467153284671
70,4.77945205479452
71,4.1679389312977095
72,13.107235142118862
73,3.7450110864745016
74,6.732919254658386
75,2.987124463519313
76,7.267002518891688
77,4.731800766283525
78,5.368493150684932
79,7.886912325285896
80,5.947437582128778
81,7.7984886649874054
82,5.952830188679245
83,8.396786155747836
84,3.055908513341804
85,8.561068702290076
86,3.2294264339152114
87,7.267002518891688
88,3.986146095717884
89,2.97029702970297
90,5.947437582128778
91,18.19096774193548
92,3.055908513341804
93,2.5536159600997506
94,5.108923884514435
95,3.3315649867374004
96,6.859354838709678
97,4.993827160493828
98,3.055908513341804
99,8.614805520702634
