,grid_import
0,98.39234633759264
1,84.46718011884316
2,83.65545767890879
3,79.86375140364201
4,78.69874496585508
5,84.51633097870399
6,85.94670658517407
7,95.52397011553346
8,102.76732758077969
9,92.32870086812677
10,95.39914582427971
11,110.29587290398504
12,110.97309096439186
13,125.07082415156675
14,125.58581354007245
15,116.15590911679453
16,122.0382169718639
17,146.23904343139503
18,151.41152083110336
19,145.05506588154518
20,141.44886838292618
21,138.03697423082662
22,124.58324893171037
23,103.24854062597464
24,92.71046133563354
25,80.98232753780461
26,74.08202908510191
27,73.22913422389244
28,69.43040972016334
29,79.77227459700234
30,76.04606595989675
31,80.66748798758509
32,87.57761410439743
33,111.08521296596834
34,117.48266570550834
35,119.40705399959585
36,127.5513931382226
37,128.81251080825615
38,117.75205507496437
39,123.41506514038511
40,129.98495100372529
41,130.15995456548467
42,145.1398836466276
43,149.27553762701726
44,140.55138093124003
45,130.2984351327742
46,117.64392999814864
47,114.01475181321096
48,93.83030197913446
49,82.59735915304402
50,85.82092894666597
51,77.91802829432565
52,74.09084706271022
53,80.93529978763893
54,78.31290086257597
55,83.47342966892654
56,94.02026887836298
57,111.3229958779073
58,126.62028317937282
59,127.79562602045355
60,129.7811599662399
61,120.60217841329656
62,118.82267627219004
63,134.42497435477307
64,165.70083120699903
65,172.96179312848912
66,187.19279415220825
67,171.6348985215364
68,181.43052210991533
69,170.88095613606282
70,164.8163986033306
71,146.69447548001835
72,112.17293679439899
73,95.77257604786578
74,86.87377948046694
75,85.63675508463778
76,86.47347546182532
77,97.98653163333802
78,101.94108365185497
79,123.32429120181902
80,143.93135290058584
81,135.8812072189522
82,138.24576681143785
83,143.61048892408877
84,142.33257081762815
85,132.59728724724806
86,139.14417744318868
87,146.2254410100433
88,149.7299298081521
89,166.8079252399526
90,171.3141626088456
91,174.31035453237592
92,161.86214077589918
93,165.22399493469598
94,158.8249641359926
95,138.6570820051076
96,117.29587854277331
97,105.27743957571047
98,100.82202746063741
99,94.03196588426351
100,93.3038719003536
101,105.43359554952119
102,106.9513758682433
103,138.5292931795805
104,147.00682661486024
105,148.80484827595257
106,144.93990971029905
107,142.36168735778827
108,120.67418118496371
109,139.5543465552745
110,140.41624223007804
111,140.53676498415575
112,153.31801030284177
113,175.3068728220915
114,175.04296808724385
115,172.46223202986968
116,181.239326326113
117,181.77968397211032
118,169.31446177744888
119,173.4841770672245
120,141.33478596799773
121,124.01942942859283
122,116.48208133290957
123,116.51301431375794
124,108.41172461830757
125,123.40869687073017
126,129.26131120053864
127,153.57977993800625
128,162.10051910531547
129,171.11547430144424
130,168.9984411687095
131,172.1648438772416
132,173.25466689559173
133,159.61446750020633
134,167.48568392623136
135,170.8603648293958
136,168.82157757897897
137,179.02214446851588
138,193.71541051197846
139,193.15087924917097
140,172.1021090365144
141,174.00354002738274
142,174.0247440283477
143,152.59224869314303
144,151.42737476309776
145,124.44619590784471
146,101.9844090120385
147,102.50850602875308
148,100.7581615675293
149,109.54664168097695
150,114.33489917246499
151,141.94939625338912
152,159.9219976567685
153,153.36911115541042
154,154.12208996130823
155,174.53687073311718
156,182.5873161893059
157,170.62405559177927
158,157.01149956466134
159,164.23242309854587
160,175.29302835687585
161,173.70587427277806
162,188.94594585409843
163,194.70818987467524
164,183.64578760962718
165,182.86816774512758
166,179.8700848601803
167,149.94054194384515
168,137.39297301972624
169,109.93126505620228
170,108.36891903984875
171,97.12419939996511
172,97.1211107370942
