,total_demand
0,203.56700000000004
1,187.25999999999996
2,186.329
3,180.424
4,178.278
5,184.09299999999996
6,179.73999999999995
7,188.622
8,194.89200000000002
9,180.61100000000002
10,184.775
11,210.96999999999994
12,213.162
13,231.48700000000008
14,229.031
15,212.03800000000007
16,216.33700000000005
17,248.52200000000005
18,256.5290000000001
19,248.16899999999998
20,241.61200000000002
21,239.35700000000003
22,221.25300000000004
23,197.135
24,183.93099999999995
25,172.08700000000002
26,162.78099999999998
27,163.84300000000005
28,158.09499999999994
29,177.284
30,169.76000000000005
31,173.90699999999995
32,171.26100000000002
33,201.86999999999995
34,219.2
35,226.4260000000001
36,228.97199999999992
37,232.237
38,212.411
39,221.28399999999993
40,227.85699999999997
41,227.505
42,244.673
43,249.52299999999997
44,240.09700000000004
45,225.91800000000006
46,211.67000000000002
47,217.041
48,185.22399999999996
49,172.39500000000004
50,181.25499999999997
51,170.52599999999998
52,163.24100000000004
53,180.147
54,178.19199999999998
55,180.40800000000004
56,186.14899999999994
57,206.48899999999998
58,226.05100000000002
59,232.90499999999997
60,235.93600000000004
61,221.30700000000004
62,218.68499999999995
63,241.42000000000002
64,279.1379999999999
65,292.438
66,308.722
67,290.9060000000001
68,301.9630000000001
69,293.50699999999995
70,286.346
71,270.68100000000004
72,229.22799999999998
73,207.21500000000003
74,197.20000000000005
75,195.36199999999994
76,197.43299999999994
77,214.48599999999985
78,213.30599999999998
79,243.03300000000004
80,270.56400000000014
81,271.30700000000013
82,264.325
83,272.7399999999999
84,280.70500000000015
85,265.632
86,258.38300000000004
87,267.13499999999993
88,272.9489999999999
89,295.726
90,299.32300000000004
91,301.67099999999994
92,284.8039999999999
93,287.984
94,279.636
95,258.186
96,242.75400000000013
97,224.214
98,220.067
99,212.57000000000002
100,210.138
101,226.571
102,223.982
103,273.003
104,282.794
105,303.7220000000001
106,312.64999999999986
107,301.941
108,270.26
109,278.10299999999995
110,272.67500000000007
111,270.69999999999993
112,286.54699999999997
113,313.779
114,315.5260000000001
115,310.743
116,319.903
117,321.457
118,306.2100000000001
119,309.26700000000017
120,273.51499999999993
121,252.52100000000002
122,246.77700000000002
123,247.59600000000003
124,239.6360000000001
125,260.42499999999995
126,264.1400000000001
127,295.9279999999999
128,302.1829999999999
129,319.5659999999999
130,311.9800000000001
131,322.52099999999996
132,328.334
133,308.6850000000001
134,317.91200000000003
135,316.13499999999993
136,306.1109999999999
137,324.35400000000004
138,339.787
139,338.4769999999999
140,310.81799999999987
141,310.6089999999999
142,309.68000000000006
143,286.4239999999998
144,294.873
145,259.33799999999997
146,228.4849999999999
147,228.96900000000008
148,230.653
149,240.54899999999992
150,241.11499999999992
151,278.928
152,296.61
153,292.8460000000001
154,299.6020000000001
155,327.4459999999999
156,335.20200000000017
157,318.86000000000007
158,300.2900000000001
159,304.69999999999993
160,320.54600000000005
161,307.77600000000007
162,331.0720000000001
163,334.4839999999999
164,322.798
165,323.2250000000001
166,319.08500000000004
167,286.44
168,271.7699999999999
169,238.694
170,235.23800000000006
171,223.16799999999995
172,220.80700000000002
173,238.12099999999995
174,233.01500000000004
175,269.7270000000001
176,294.965
177,304.8710000000001
178,308.1710000000001
179,309.2920000000001
180,291.5540000000001
181,305.8490000000001
182,290.0790000000001
183,286.55399999999986
184,298.74
185,300.70200000000006
186,321.68600000000004
187,318.7139999999998
188,313.51300000000003
189,301.9789999999999
190,276.94899999999996
191,276.5709999999999
192,279.15499999999986
193,254.11
194,254.02600000000012
195,248.7820000000001
196,223.16500000000005
197,238.14599999999996
198,241.33100000000002
199,264.712
200,252.45599999999993
201,264.6910000000001
202,266.99299999999994
203,304.2200000000001
204,341.79999999999984
205,344.15700000000004
206,313.0359999999999
207,295.687
208,282.79699999999997
209,306.50499999999994
210,304.20700000000005
211,327.7500000000001
212,301.5569999999999
213,288.9140000000001
214,266.01000000000005
215,264.127
216,252.18899999999996
217,232.3509999999999
218,215.37300000000005
219,206.2589999999999
220,205.138
221,213.57900000000006
222,214.185
223,222.74999999999994
224,224.2249999999999
225,256.546
226,275.4
227,281.972
228,308.16399999999993
229,287.6550000000001
230,307.523
231,287.943
232,304.63200000000006
233,346.937
234,358.6230000000002
235,344.78900000000004
236,345.76200000000017
237,336.635
238,335.6589999999999
239,318.18800000000005
240,285.8569999999999
241,271.04599999999994
242,248.37300000000002
243,245.28200000000004
244,253.01600000000002
245,259.4159999999999
246,253.42499999999987
247,283.7109999999999
248,303.178
249,304.1870000000001
250,306.19600000000014
251,317.02800000000013
252,305.4539999999999
253,293.1930000000001
254,299.29999999999995
255,316.15599999999995
256,304.5559999999999
257,315.142
258,327.79999999999984
259,302.1089999999999
260,291.28600000000006
261,302.32199999999995
262,288.448
263,290.2710000000001
264,257.88
265,233.78100000000003
266,237.15299999999988
267,240.75399999999996
268,239.6130000000001
269,249.02100000000002
270,264.00300000000004
271,272.031
272,303.766
273,310.164
274,304.594
275,303.3549999999998
276,289.13900000000007
277,306.07099999999986
278,278.476
279,300.05799999999994
280,298.4309999999999
281,310.41
282,324.92000000000013
283,322.00000000000006
284,320.3080000000001
285,321.236
286,306.562
287,286.56999999999994
288,264.46200000000005
289,236.8009999999999
290,236.43799999999993
291,232.207
292,237.46699999999993
293,239.088
294,238.40299999999996
295,270.38399999999996
296,313.305
297,312.504
298,312.2759999999999
299,324.4499999999998
300,314.9559999999999
301,303.7580000000002
302,293.341
303,291.202
304,290.85500000000013
305,321.826
306,321.467
307,335.3449999999999
308,326.38599999999997
309,309.0300000000002
310,314.799
