,grid_import
0,98.26360924287434
1,84.40460401172587
2,83.48089034162291
3,79.81619544438189
4,78.70860243243604
5,84.45989274806735
6,85.94237922883188
7,95.62575296407043
8,102.73602487472289
9,92.29848026168561
10,94.56519226410069
11,108.74358186641885
12,110.31093818494
13,124.66426876312117
14,125.0512592723707
15,115.91028401359883
16,121.91019589679786
17,145.98272441101034
18,151.06984205637735
19,144.6881873048911
20,141.1203688200911
21,137.6977773163981
22,124.2360985628415
23,103.20998744955985
24,92.6351142672587
25,80.79479039317215
26,73.93250455179628
27,73.0536439562713
28,69.35713688799677
29,79.44745575621344
30,75.67313956997654
31,80.46652441727059
32,87.55946459729948
33,111.0063233267191
34,87.28310696547375
35,75.87089780829763
36,121.85386902659255
37,128.62893023472674
38,117.50593111094616
39,123.22526182460696
40,129.70075260888558
41,129.65638015711914
42,144.70607909234624
43,148.84950051585042
44,140.3608151183949
45,130.06784361495036
46,117.50747423686506
47,113.82195075448885
48,93.52160516717841
49,82.35826646476055
50,85.32743566712425
51,77.47949392355557
52,73.75466294867506
53,80.51874795886728
54,77.9168413579048
55,83.12191089352666
56,94.00174504424614
57,111.3144573098645
58,124.50020129873191
59,119.0052232343767
60,115.00324770395379
61,109.22120206768793
62,118.67589483079033
63,134.14597779891488
64,165.51125583905812
65,172.37759056859827
66,186.18888384244875
67,171.18929830150603
68,180.97324172960728
69,170.35432686973272
70,164.43554179568787
71,146.3027275507567
72,111.6716474441122
73,95.29219710270888
74,86.53051492664409
75,85.10644738799176
76,86.201177261575
77,97.58286662385048
78,101.46599142778103
79,123.01781278591582
80,143.34989774653724
81,95.79756690963924
82,134.18587813150413
83,142.22832297786942
84,109.82371873940652
85,76.82717446001146
86,138.5527189790955
87,145.79206328826834
88,149.306224829665
89,165.98120632890652
90,170.6074554259374
91,173.25562820956404
92,161.13972053532513
93,164.25946191553112
94,158.18242684473563
95,137.75853625193807
96,116.64636545883856
97,104.4298276400097
98,99.8788406114227
99,93.29298931557771
100,92.75823954116254
101,104.77802328378094
102,106.16075652741297
103,138.33601632731532
104,146.48927957248654
105,69.34476123318251
106,34.13687842726358
107,48.745354486604825
108,36.20923535317872
109,122.13832044141417
110,139.79763074533514
111,139.74548919183167
112,152.4429891110784
113,174.57021266565653
114,174.09543820392764
115,171.57797366717497
116,180.41534686036053
117,180.87146881446495
118,168.2476197566533
119,172.12592108094256
120,139.98865544404651
121,122.89388898480811
122,115.50286824736565
123,115.59448243413892
124,107.83769469061305
125,122.67981249358891
126,128.64703468747425
127,152.73436534349892
128,161.32325507726392
129,148.8824869466035
130,164.61761622140193
131,166.68528688629283
132,171.64440363168407
133,158.65235091449398
134,166.43951753809205
135,170.0920526940554
136,167.91631809411268
137,178.12467482368936
138,192.93307912271555
139,192.39705110605925
140,171.38492828407615
141,173.2207968862501
142,173.26167729178985
143,151.65441907680554
144,149.83749978669263
145,123.02059781249676
146,100.88026869481328
147,101.52230855719813
148,100.06485761564667
149,108.37174437894429
150,113.23705324573024
151,141.28851471753876
152,158.93935096002306
153,151.99064776274827
154,148.118113658722
155,166.38436823396685
156,173.50811774253708
157,168.78293505670587
158,156.20385231972622
159,163.72316108588083
160,174.71223494089026
161,173.0815982987485
162,188.26217777489083
163,193.8637907441598
164,183.01501116114304
165,182.31053073305645
166,179.38025383627928
167,149.59380353247514
168,136.32667717250962
169,109.30833670007569
170,107.644941610101
171,96.65129791526289
172,96.99230788715431
173,108.39772813813612
174,109.98821486132374
175,136.18507380746686
176,154.6127586646792
177,162.37846289819012
178,163.3778616415419
179,150.14503664702886
180,81.10425499749859
181,54.999973370421976
182,135.68393108874264
183,149.70914007789165
184,163.7887455267363
185,168.7553311062427
186,186.28052870266512
187,183.5075469764431
188,181.25604877995715
189,169.59235042369687
190,152.82933307543738
191,146.30842837518077
192,146.3154025406962
193,124.88786255039511
194,121.45513487765128
195,116.54451547016745
196,98.10229332349988
197,108.12794167046764
198,108.99587397835336
199,127.80956394113457
200,124.03404206298407
201,120.38154864868332
202,124.04041369467005
203,76.96340315636746
204,172.3765398998533
205,193.84072889720426
206,173.66252299738312
207,159.71725599967277
208,152.87358386321338
209,170.97735831329516
210,171.24272870994548
211,188.98315479394034
212,169.0257135372069
213,156.7751220299493
214,143.12828079457546
215,134.31421087118682
216,129.59585329648934
217,110.05938748165828
218,97.78686269594652
219,90.82368003482743
220,89.23177330021385
221,95.15326140645392
222,92.82773243774022
223,102.0315055985953
224,109.76693151042312
225,134.15499619832084
226,143.54604940267635
227,107.91841306578013
228,108.81115081018454
229,32.75528027570544
230,147.66247690921105
231,159.5375962190592
232,170.6508063074593
233,207.4959910596292
234,214.8123632559474
235,203.9336950763277
236,206.87683863814885
237,196.84085573958868
238,195.88071547665345
239,174.12071518605077
240,144.3052558784843
241,129.4014191859892
242,112.75214643692298
243,111.76784846702252
244,114.98142587393023
245,119.66703549578335
246,119.35555488940923
247,147.8110539694829
248,166.6661852355377
249,163.30012576046718
250,164.15208565952977
251,172.2803123395999
252,162.8798776633332
253,143.66182263431182
254,148.3772525484317
255,175.44429221972047
256,171.02486894692694
257,179.74483976702973
258,189.36263848823955
259,169.7483600284292
260,160.4960982516696
261,167.22480412599413
262,155.95825096453365
263,148.42501023384986
264,121.77388038006305
265,105.1952198794963
266,107.00591378855363
267,107.85642012060481
268,107.9431327415835
269,114.5265746298277
270,128.81113784543103
271,137.08854485710643
272,160.84104176222627
273,96.66554123157876
274,31.164007212057157
275,13.492319361973951
276,20.571706289519952
277,122.03264053936503
278,135.52377156968728
279,157.49211942777336
280,160.4787493502129
281,170.18959557971596
282,183.05512093464878
283,182.5864857226417
284,179.01348620378283
285,176.73694714414756
286,166.1396482238015
287,147.17902392639675
288,128.1180581645172
289,107.11261079084558
290,105.98650479361365
291,102.17988746347126
292,105.02194650854918
293,108.13397473226388
294,109.7262926346239
295,133.62342936707952
296,166.41126276251487
297,167.0475744558216
298,155.30307314100273
299,173.60886436711422
300,162.90453992048236
301,158.55473012414592
302,155.46055129030788
303,157.20259538874654
304,159.41132271496502
305,188.18370693443202
306,181.03026771587406
307,194.40716791269801
308,187.00441916633923
309,171.91069321221403
310,174.1105950380424
311,174.49668243653716
312,133.61922655964847
313,117.77137431945599
314,112.82634407904402
315,107.9045510844327
316,106.59433919389569
317,113.73360814839837
318,114.07534646544885
319,142.0169384053598
320,155.64502847356098
321,158.80277373526877
322,171.1056697539828
323,157.18448950092264
324,159.9730886620321
325,150.42849536259826
326,152.35617212853126
327,157.32004169427753
328,160.59785113412494
329,176.21226075431622
330,178.03585083672738
331,192.66157727231445
332,187.8822181253857
333,175.17760509856683
334,173.98532834728633
335,169.03977366101066
336,150.30869969922463
337,131.2727224925841
338,121.60131214864194
339,117.40626569912737
340,117.68339333968089
341,122.0568750401296
342,127.97408350768147
343,169.5867487754003
344,179.72549958305314
345,183.35262811208128
346,186.92347881004702
347,187.8120173130702
348,164.5867134438686
349,163.12801673119455
350,154.19331983893915
351,159.42149830145837
352,165.29108830721617
353,181.9458285884216
354,188.6981719338227
355,207.0081528194309
356,197.5462066521993
357,186.22824484411038
358,166.28872780974947
359,151.56373136006764
360,137.1641003009303
361,122.66419101187621
362,112.23620368370315
363,110.75160102520455
364,110.16316323650605
365,114.9000099402272
366,118.9281561732069
367,122.08650303284702
368,127.35590381322376
369,147.66276088434677
370,168.47356974458035
371,166.0806132548197
372,142.17561616861718
373,173.5545800740335
374,162.4970599466143
375,155.78810350832458
376,169.8574081382294
377,177.8933496939634
378,174.52593410550676
379,189.72587260523363
380,195.38784312649886
381,174.9665128395065
382,164.79601600278122
383,154.08585997785366
384,143.57076448452386
385,128.6069445462704
386,123.6656024616761
387,110.17132304550319
388,102.63730561091926
389,116.27330312068196
390,111.69168737358052
391,119.04919387227041
392,128.82480096226357
393,150.4049013292546
394,158.09330445004895
395,91.30505106800615
396,106.25358527351504
397,113.87511801571722
398,145.9707628657352
399,180.7476259603526
400,177.92751444392567
401,199.03834922900506
402,211.19597809047738
403,227.00607763377525
404,205.65750491974447
405,202.49122466613807
406,193.00594733777945
407,174.20752390187363
408,148.18030081120875
409,139.12178947536734
410,135.63309063513003
411,128.45444588371237
412,118.81713664847341
413,120.36353401712749
414,125.99745304714753
415,156.4041417202176
416,176.55946261411037
417,174.12849129525017
418,169.40739938289047
419,66.86426499035366
420,112.70760988851093
421,113.46544643770248
422,89.26187089385695
423,168.27607851741772
424,167.98187164860613
425,190.86687007216483
426,179.20911588863714
427,180.64501003332535
428,192.5596549860009
429,183.66789327013436
430,166.259461897042
431,160.90476795764624
432,135.1606264343825
433,129.61598687986174
434,106.10025445287684
435,106.29752551955661
436,102.17341935058175
437,110.23589293930033
438,113.01547105605962
439,141.06234974144797
440,161.48790621538956
441,161.23848612203
442,156.3831165506083
443,71.14951084640569
444,133.18708148261294
445,126.21226312799485
446,82.18068358091055
447,149.14271944494743
448,154.18583748763174
449,164.71141279436267
450,184.40012420200634
451,186.9710888539275
452,165.39560614074938
453,154.59183974585483
454,158.82406757335292
455,148.75704773113836
456,135.3204202094002
457,120.07372737333037
458,106.11409317189249
459,98.37096762373184
460,97.30221279445321
461,107.48252557265724
462,111.05015037521333
463,138.35261486790813
464,159.41123244303392
465,152.52722631942837
466,150.99382980010043
467,142.22281789827008
468,130.60918932861657
469,107.8830696846733
470,102.6835883862453
471,149.9371623154377
472,148.02264277445133
473,166.92769454902248
474,181.08256420535415
475,165.161813236488
476,156.87625664097143
477,148.9879537663034
478,161.91743168165627
479,146.33231546569402
480,116.01410273907312
481,105.2130280974572
482,94.45313576367205
483,87.80136317849221
484,89.92734331968678
485,100.07737303131314
486,100.97499049394119
487,113.61261041881517
488,131.09934409256113
489,129.73014593227322
490,123.43600352569352
491,91.13057838808163
492,90.86960173931696
493,114.32405851062599
494,139.4406766443237
495,136.27061508181367
496,135.84218596055862
497,162.49675947976107
498,153.93953136769284
499,178.44853177320155
500,169.08596651142645
501,158.55727470274016
502,169.0191021990718
503,147.95900818553443
504,120.7386249127531
505,98.05540235984859
506,96.54962293441547
507,86.48453098620696
508,86.43589304623319
509,95.86002957488185
510,98.32894261091622
511,127.85666783158845
512,135.42912030591125
513,124.17817588390737
514,122.61530323862316
515,91.52755327405191
516,121.91244334687768
517,120.885367576726
518,125.53019445699441
519,136.66433396796637
520,150.79842384600565
521,160.91263350149654
522,145.86698264600884
523,158.15477573973374
524,155.517840750508
525,143.780535283107
526,139.23709140535243
527,128.10014012605794
528,98.68841466886292
529,86.28717509530641
530,79.40693917074653
531,78.1859779314468
532,76.94194046930089
533,78.75225052370541
534,74.9387586978115
535,89.35669303786739
536,103.30110779355809
537,121.76760300015192
538,118.1762210304758
539,121.16874802344958
540,129.78523324216124
541,131.19287087931198
542,134.4762095576972
543,142.78604534547404
544,127.18396669053858
545,145.59597088485657
546,151.9838842731012
547,149.58275691131252
548,137.73301912916287
549,130.41814228387108
550,121.88151884780885
551,111.84057003885901
552,108.19730104190316
553,89.20017826793134
554,79.98008189545456
555,78.40521035244822
556,82.00412114976557
557,86.56642375585764
558,80.36847823673043
559,92.79016245368823
560,100.54893595611098
561,112.08121162285167
562,122.97907045698494
563,144.04087050089478
564,148.43072755748693
565,138.18283923824637
566,148.79835087995426
567,142.96677445504457
568,132.93740592613966
569,155.44048334340525
570,159.47573818460714
571,166.78314189472857
572,153.37559922677067
573,161.45961107306815
574,147.3125900936505
575,137.0124860533103
576,108.4003895593062
577,100.84133343777614
578,91.3137174013057
579,90.0937790903259
580,94.44712540835502
581,100.14309385133409
582,101.73817854175596
583,130.92920307390466
584,137.85092482335273
585,137.22206822597357
586,146.80534497631376
587,144.59686348635407
588,138.09721068443108
589,133.30746803801534
590,138.66844013861018
591,144.3209357364487
592,151.6927845107509
593,154.71046082728856
594,160.64453373054522
595,176.2295799547266
596,177.9950636664826
597,157.75799304610032
598,149.45222834818088
599,138.8214307578189
600,111.2884691192107
601,98.05623218428074
602,86.33714242531497
603,89.08736219943779
604,87.56644677250182
605,93.90619224496915
606,102.45667961152807
607,128.2111375848265
608,147.7844867923512
609,155.23327661106418
610,156.17455962300363
611,158.36938096171463
612,154.6581175764137
613,133.43601691939435
614,136.90354751401915
615,126.98874819621848
616,150.20014599767813
617,151.61310082534317
618,173.82890492948795
619,175.85736145246477
620,184.38071700127182
621,187.27613983689972
622,174.6447726270631
623,158.83248414612973
624,141.00279976999417
625,121.91218308983791
626,106.95001303654996
627,110.2819948999134
628,111.32496503789658
629,116.99727495829852
630,123.71525935038379
631,143.8793585821282
632,166.72705475202574
633,167.17891945841367
634,181.46836576340598
635,167.9926054192285
636,143.591116284366
637,143.829856742186
638,146.7971795840886
639,140.25756932782784
640,157.6808543191254
641,189.51563747902676
642,191.93485006309916
643,179.39814973651926
644,184.14000998135552
645,172.29122441246085
646,161.51108468763837
647,158.37943201742362
648,135.49653722472078
649,127.26599905983217
650,108.77631634468847
651,101.08792322292297
652,102.46127853872181
653,118.76719305106256
654,112.76192784191515
655,136.96850013762605
656,150.96549806056598
657,156.70030637579222
658,159.2450832248197
659,163.99311458425333
660,150.8518550578887
661,153.9254780597048
662,147.4953193460378
663,139.17002936009615
664,155.04720296622457
665,181.02305883406675
666,180.1017703099812
667,189.82249700335223
668,198.32052125755456
669,187.11029758868506
670,186.82256093483664
671,159.85606104140143
672,133.42401903998143
673,110.06489442167435
674,110.5254528151272
675,110.47046266323919
676,110.96077183451571
677,121.98856578499834
678,130.57004093489448
679,138.31581720322868
680,158.19051944678205
681,174.9833313466868
682,186.5490572374076
683,177.53803274484625
684,165.79283688946026
685,150.87458832212815
686,153.64459709671067
687,156.9640934565918
688,173.52376091418188
689,196.51005458070162
690,189.90521053366027
691,193.04486931216343
692,187.96015072631283
693,174.04473960222464
694,174.20496957611408
695,171.29595573467694
696,163.92253177449274
697,145.09581170056168
698,135.69940647159115
699,127.3263408704178
700,122.98237861333138
701,122.06889943316635
702,130.85353864577894
703,137.2731293837675
704,121.78692139251228
705,132.3429759243552
706,185.8917837755319
707,203.91764373048903
708,192.46294354346466
709,163.88673360347812
710,166.6808574773062
711,167.81190721906657
712,163.51555668502678
713,180.2953160377757
714,205.2155226612688
715,222.7408388820488
716,187.29651749545948
717,196.98607241155452
718,181.9779472320475
719,156.32289214369615
720,134.59717274699946
721,132.90289153883322
722,115.9628888971284
723,117.41728772409675
724,118.45373393108811
725,125.37258234362173
726,120.62993267104719
727,124.45178527122798
728,128.75177067596962
729,145.70719916924216
730,168.59817491326714
731,122.19983354799626
732,198.04300612779792
733,175.107908426992
734,169.4557073701782
735,170.37641098876213
736,167.6193049318007
737,176.383100477642
738,217.31641550317596
739,218.9383473875916
740,201.18364657221468
741,190.37281378942734
742,178.4970451322287
743,175.63763651996211
744,144.2601581272736
745,122.62525703452577
746,116.42856509858635
747,122.09700026910153
748,127.29711604884506
749,135.94107124801
750,139.306370730211
751,152.80246099717547
752,172.16296933872476
753,159.91341510686613
754,170.0736748429503
755,182.6482247568633
756,186.5945964989797
757,177.9086627598176
758,164.67149290605357
759,161.68180838558067
760,189.40943322188974
761,175.90321570376025
762,192.17144493809346
763,201.27395231634014
764,187.627483087632
765,200.1359181460491
766,187.07265896933865
767,176.2741221533456
768,161.83290014184453
769,135.81458143085896
770,131.4560204985678
771,125.58531960669858
772,119.55477170531907
773,128.97901778055547
774,128.0409564778662
775,144.69082794440723
776,87.93536609838895
777,135.2440976540921
778,162.82149299027762
779,182.68076239110047
780,178.65114882564203
781,151.70330466507374
782,157.36487960600965
783,167.4800168609453
784,169.58387358091298
785,181.1254039729011
786,196.44213321954624
787,197.40629399637643
788,190.21262745569342
789,197.0511543993112
790,169.8612593720361
791,155.60605875434885
792,140.42972088110773
793,122.9778497029151
794,112.40177754386372
795,108.18617267162671
796,106.58846529872062
797,119.77500961375154
798,121.02683431207096
799,142.6089816660624
800,165.88401770680485
801,158.08948444184483
802,151.69495634008877
803,159.777566715678
804,156.37543928156515
805,153.5201126189224
806,141.7943720496833
807,151.0495322268031
808,152.32639959639477
809,175.56393017224698
810,189.95424254280636
811,198.95915597553136
812,191.21340156562485
813,196.05586779999547
