,pv_installed_capacity
0,4.864670274714676
1,5.241805044230279
2,4.864670274714676
3,5.772305154724537
4,2.9643774449699065
5,3.3638290172320384
6,4.101330121464893
7,5.881587792762044
8,11.090028739431844
9,6.241422709626652
10,3.211205066334728
11,2.058247131867542
12,10.607433265817914
13,2.4317098060668516
14,3.141785792933545
15,6.241422709626652
16,10.607433265817914
17,2.7099026781463498
18,2.7099026781463498
19,5.881587792762044
20,8.359793913619246
21,5.046499131186738
22,3.358143035494287
23,7.0695376452770455
24,8.783895855970378
25,2.1941572517339982
26,2.7159072884636344
27,2.1941572517339982
28,3.515636053199854
29,1.0337711892847607
30,1.4021380962876022
31,10.100523616273108
32,4.862466479252345
33,1.9283579956634713
34,1.9283579956634713
35,5.337296140745689
36,5.991383006555929
37,2.964377444969906
38,3.141785792933545
39,5.991383006555929
40,2.562987282299396
41,3.254045144736158
42,3.365540416888654
43,1.9654081328067032
44,3.9189055974270612
45,1.0337711892847607
46,11.090028739431844
47,7.0695376452770455
48,6.816728179147083
49,3.254045144736158
50,2.9561075561502625
51,5.241805044230279
52,2.167844331776122
53,5.046499131186738
54,13.877332819272397
55,2.35235008459463
56,2.5486383678098603
57,5.849283045929003
58,2.7159072884636344
59,3.358143035494287
60,10.100523616273108
61,2.1941572517339982
62,4.416532887818627
63,4.416532887818627
64,2.964377444969906
65,1.9283579956634713
66,3.7051959774819867
67,3.6664549786090017
68,3.137887730425531
69,2.992177894212719
70,3.726195043767324
71,3.118853498276048
72,8.873095026749857
73,2.9561075561502625
74,4.6387907825173
75,2.3682628343944314
76,5.241805044230279
77,3.8648318653389357
78,4.426107597731432
79,5.669795219383201
80,4.416532887818627
81,5.51568310538098
82,4.740067063333987
83,5.728334310656579
84,2.686887403219586
85,5.991383006555929
86,2.1941572517339982
87,5.241805044230279
88,2.961239372850176
89,2.0925140517462424
90,4.416532887818627
91,13.877332819272397
92,2.686887403219586
93,1.9163444317839118
94,3.3880606592389046
95,2.562987282299396
96,5.849283045929003
97,3.761427751401878
98,2.686887403219586
99,5.337296140745689
