,stes_soc
0,376463.74897744827
1,376452.4567234708
2,376439.27300529013
3,376429.57549423265
4,376422.7922981191
5,376415.3476453324
6,376417.54076330306
7,376419.07845311053
8,376421.7872856005
9,376433.1596707911
10,376442.44178895967
11,376431.8805631645
12,376419.1956722221
13,376393.39964650996
14,376372.1308727226
15,376370.0467200567
16,376371.18998851243
17,376340.3956825612
18,376293.83854097314
19,376261.9577909938
20,376240.1338968313
21,376227.6370336005
22,376224.8193871021
23,376227.7006872336
24,376232.49958645826
25,376238.53702485433
26,376248.30545691756
27,376254.9840398944
28,376265.66168929834
29,376260.78090390615
30,376260.4813834496
31,376264.1667064962
32,376282.50667074806
33,376289.20206072554
34,376286.70569000475
35,376280.3594677835
36,376271.6187042249
37,376258.32001063466
38,376258.7797121077
39,376254.49306582275
40,376247.2680187707
41,376242.81260394317
42,376223.1936615909
43,376193.0415644415
44,376176.5914174349
45,376172.22733567096
46,376174.045461726
47,376160.97017143824
48,376165.6647293091
49,376171.9967158747
50,376167.25051553035
51,376168.5535992275
52,376174.97488054243
53,376167.6171914509
54,376159.8637421751
55,376157.49534224387
56,376163.1652077537
57,376164.2509513439
58,376154.11011654494
59,376140.1080709367
60,376124.4398512782
61,376116.313377958
62,376094.0767841128
63,376071.8415049303
64,375858.9234450457
65,375641.15397733246
66,375524.4124403323
67,375433.02971928724
68,375321.508970882
69,375235.1136223279
70,375169.5476898941
71,375111.6966340051
72,375070.9167570951
73,375039.9266724732
74,375014.8460655579
75,374990.18546208425
76,374964.7282390507
77,374928.9499549542
78,374901.779661783
79,374859.21611111425
80,374802.84315519815
81,374743.70190443634
82,374689.719048572
83,374628.3789635978
84,374559.2093682673
85,374501.6768020867
86,374451.9447365973
87,374403.84836624295
88,374358.75552055467
89,374264.63560756145
90,374163.533407173
91,374057.92825167946
92,373978.06732868595
93,373900.97416091466
94,373843.58293836954
95,373796.93793596537
96,373744.299332882
97,373698.2627999693
98,373652.95993916533
99,373612.2951211701
100,373574.9363772175
101,373527.67234734143
102,373490.6945769429
103,373421.60226679797
104,373352.90216459206
105,373265.8915483416
106,373171.0557604229
107,373082.80725204677
108,373017.5191946722
109,372946.3721626881
110,372881.80672024714
111,372825.72674469353
112,372764.44353633275
113,372657.03402012575
114,372548.2253957399
115,372447.5889054536
116,372327.45323318767
117,372217.2049351136
118,372138.74455412454
119,372043.57680244645
120,371958.0775123335
121,371881.7261659137
122,371807.23862247245
123,371730.473724475
124,371661.471272419
125,371578.82592771074
126,371502.1902756911
127,371407.55240582227
128,371315.0042991792
129,371205.8709361566
130,371102.3665924478
131,370989.10158378084
132,370868.74760032236
133,370764.9759227587
134,370656.8533338691
135,370560.71930292447
136,370480.77230584243
