,stes_temperature
0,41.37197908145403
1,41.37103806028924
2,41.36993941710752
3,41.36913129118605
4,41.36856602484326
5,41.367945637111035
6,41.36812839694193
7,41.36825653775921
8,41.36848227380004
9,41.369429972565925
10,41.3702034824133
11,41.36932338026371
12,41.36826630601851
13,41.36611663720916
14,41.364344239393546
15,41.36417056000472
16,41.364265832376034
17,41.36169964021343
18,41.35781987841443
19,41.35516314924948
20,41.35334449140261
21,41.352303086133375
22,41.35206828225851
23,41.3523083906028
24,41.352708298871526
25,41.353211418737864
26,41.35402545474314
27,41.35458200332454
28,41.35547180744153
29,41.35506507532551
30,41.355040115287466
31,41.35534722554135
32,41.35687555589568
33,41.35743350506047
34,41.357225474167066
35,41.35669662231529
36,41.35596822535207
37,41.35486000088622
38,41.35489830934231
39,41.354541088818564
40,41.35393900156423
41,41.35356771699527
42,41.35193280513258
43,41.34942013037013
44,41.34804928478624
45,41.34768561130592
46,41.3478371218105
47,41.34674751428652
48,41.34713872744243
49,41.34766639298956
50,41.347270876294196
51,41.34737946660229
52,41.34791457337853
53,41.34730143262091
54,41.346655311847925
55,41.346457945186984
56,41.34693043397948
57,41.347020912611995
58,41.346175843045415
59,41.34500900591139
60,41.34370332093985
61,41.34302611482983
62,41.34117306534273
63,41.33932012541086
64,41.32157695375381
65,41.30342949811104
66,41.29370103669436
67,41.2860858099406
68,41.27679241424017
69,41.269592801860654
70,41.26412897415784
71,41.25930805283376
72,41.25590972975793
73,41.2533272227061
74,41.25123717212983
75,41.249182121840356
76,41.24706068658756
77,41.244079162912854
78,41.24181497181525
79,41.23826800925952
80,41.233570262933185
81,41.2286418253697
82,41.22414325404767
83,41.21903158029981
84,41.213267447355605
85,41.20847306684056
86,41.204328728049774
87,41.20032069718691
88,41.19656296004622
89,41.18871963396346
90,41.180294450597756
91,41.171494020973284
92,41.164838944057166
93,41.158414513409554
94,41.153631911530795
95,41.14974482799711
96,41.145358277740165
97,41.14152189999744
98,41.13774666159711
99,41.13435792676418
100,41.13124469810146
101,41.12730602894512
102,41.12422454807857
103,41.118466855566496
104,41.112741847049335
105,41.1054909623618
106,41.09758798003524
107,41.09023393767056
108,41.084793266222675
109,41.078864346890676
110,41.07348389335393
111,41.06881056205779
112,41.063703628027724
113,41.05475283501048
114,41.04568544964499
115,41.03729907545447
116,41.027287769432306
117,41.01810041125947
118,41.01156204617705
119,41.00363140020387
120,40.99650645936113
121,40.99014384715947
122,40.98393655187271
123,40.977539477039585
124,40.971789272701585
125,40.964902160642566
126,40.95851585630759
127,40.950629367151855
128,40.9429170249316
129,40.93382257801305
130,40.92519721603732
131,40.915758465315065
132,40.90572896669353
133,40.89708132689656
134,40.88807111115576
135,40.880059941910375
136,40.87339769215353
137,40.863807530353924
138,40.85187822296778
139,40.84000836409708
140,40.83167852697882
141,40.824179149960216
142,40.817320644223805
143,40.81085486052551
144,40.80228707487718
145,40.795474972257935
146,40.79069163913074
147,40.78578463048139
148,40.78087179553053
149,40.775641426702336
150,40.77107385248547
151,40.76477051732917
152,40.75791727875087
153,40.75109383751831
154,40.74382376601658
155,40.73463333632011
156,40.72487845778389
157,40.71618338161524
158,40.70894357624031
159,40.702335526867174
160,40.69286921421466
161,40.68408032649393
162,40.67205487521558
163,40.659505055928264
164,40.64841271857579
165,40.63826281924165
166,40.62920508733035
167,40.62311883166731
168,40.61647867541056
169,40.61140820030251
170,40.606358406472566
171,40.60206312852867
172,40.59804822795857
173,40.593180329134576
174,40.5893823759557
175,40.583857638724
176,40.57731138587819
177,40.569925406626965
178,40.56230824474315
179,40.55452455445358
180,40.547783638092135
181,40.54016636045445
