,grid_import
0,132.65215391565042
1,131.4865192460232
2,128.64427498417143
3,126.2599090051904
4,127.05708235034164
5,132.20353921249864
6,132.6521539156503
7,93.6119078791323
8,100.67061736946555
9,92.22376743756126
10,94.20720191468102
11,132.65215391565047
12,132.65215391562631
13,132.65215391565036
14,132.6521539156504
15,132.6521539156504
16,121.05941341783922
17,89.17094859633195
18,92.81912639751329
19,89.87518039863343
20,88.26197146650883
21,82.86388716264781
22,132.6521539156504
23,132.6521539156503
24,132.65215391565033
25,132.65215391565033
26,128.26749010694567
27,126.20901378256075
28,124.50087365677
29,127.97492060977079
30,125.07816947428623
31,132.6521539156504
32,132.65215391565033
33,132.65215391565036
34,132.6521539156504
35,128.45864308892024
36,132.65215391565042
37,132.65215391565042
38,132.65215391565036
39,132.65215391565033
40,132.65215391565036
41,132.6521539156504
42,132.6521539156504
43,132.65215391565033
44,132.65215391565033
45,132.65215391565033
46,132.6521539156504
47,132.65215391565036
48,132.65215391565033
49,132.6521539156504
50,132.07627154497098
51,127.45737602838736
52,125.34235043062627
53,128.33058197596634
54,125.97538482185065
55,132.6521539156503
56,132.65215391565033
57,132.6521539156504
58,132.65215391565036
59,132.65215391565033
60,132.6521539156503
61,132.65215391565033
62,132.65215391565042
63,132.65215391565044
64,132.65215391565036
65,132.6521539156503
66,132.6521539156503
67,132.65215391565044
68,132.65215391565033
69,132.65215391565044
70,132.65215391565033
71,132.6521539156504
72,132.65215391565033
73,131.55058577657226
74,127.44323130012603
75,126.0237519364667
76,127.29667440258692
77,132.65215391565042
78,132.65215391565036
79,118.40212197996092
80,70.07343894952925
81,29.05657361846371
82,128.59458151419517
83,132.65215391566173
84,132.65215391562498
85,103.06722812199463
86,132.65215391565036
87,132.65215391565036
88,132.65215391565033
89,96.39295299940805
90,97.98623636680476
91,99.00084881793947
92,94.93433407403512
93,132.65215391565027
94,132.6521539156504
95,132.6521539156504
96,132.65215391565033
97,132.6521539156504
98,130.00865611226712
99,127.14702054392063
100,128.01869041800612
101,132.65215391565042
102,132.65215391565044
103,130.63066526822456
104,69.90784816624344
105,65.48142620725791
106,0.2922570187354301
107,59.46534339389457
108,56.15359446490925
109,132.6521539156466
110,132.65215391565027
111,132.65215391565033
112,132.6521539156503
113,132.6521539156504
114,93.6958093764917
115,92.12265880023567
116,132.65215391565036
117,132.65215391565036
118,132.6521539156504
119,132.65215391565033
120,132.6521539156504
121,131.31128797820736
122,127.42657694400359
123,125.96381856591279
124,125.76172604464521
125,132.65215391565033
126,132.65215391565036
127,132.65215391565036
128,132.6521539156503
129,132.6521539156503
130,132.65215391565042
131,132.6521539156503
132,132.65215391565036
133,132.65215391565042
134,132.65215391565027
135,132.65215391565044
136,132.6521539156503
137,132.65215391565033
138,132.65215391565033
139,132.6521539156504
140,132.6521539156504
141,132.6521539156503
142,132.65215391565036
143,132.6521539156504
144,132.6521539156503
145,132.59661226519407
146,126.08401326183865
147,125.08051341695638
148,126.69111647722713
149,132.6521539156504
150,132.65215391565042
151,132.65215391565042
152,132.65215391565044
153,132.65215391565036
154,132.65215391565047
155,132.6521539156503
156,132.6521539156503
157,132.6521539156504
158,132.65215391565042
159,132.6521539156504
160,132.65215391565042
161,132.6521539156503
162,132.65215391565047
163,132.65215391565036
164,132.65215391565033
165,132.65215391565033
166,132.65215391565036
167,132.65215391565044
168,132.65215391565033
169,132.65215391565036
170,129.5088969899257
171,126.48950500043773
172,127.48998616210248
173,132.65215391565025
174,132.65215391565042
175,128.9653417614497
176,132.65215391565044
177,132.6521539156504
178,132.65215391565033
179,132.65215391565036
180,106.71030898359791
181,66.01190497366963
182,132.65215391565033
183,132.6521539156503
184,132.6521539156504
185,95.4926244086217
186,102.61042633765672
187,101.55858085471498
188,101.14160513802625
189,132.6521539156503
190,132.6521539156504
191,132.6521539156503
192,132.65215391565042
193,132.6521539156503
194,132.6521539156504
195,132.40142906078236
196,128.09473509547888
197,130.60202044326428
198,129.3847734778423
199,132.65215391565036
200,132.6521539156504
201,132.65215391563984
202,132.65215391565033
203,99.5783946805277
204,132.65215391565027
205,132.65215391565036
206,132.6521539156504
207,132.6521539156504
208,132.6521539156503
209,132.6521539156503
210,132.65215391565042
211,132.6521539156503
212,132.65215391565042
213,132.65215391565036
214,132.65215391565042
215,132.65215391565036
216,132.6521539156504
217,132.65215391565033
218,132.10898769193298
219,128.1199319275771
220,127.20325296496642
221,128.63533757245054
222,126.62064605749651
223,132.65215391565036
224,132.6521539156504
225,132.65215391565033
226,132.65215391565044
227,132.65215391565033
228,132.6521539156504
229,57.88545726979157
230,132.65215391565033
231,132.65215391565036
232,132.65215391565033
233,132.65215391565025
234,132.65215391565044
235,132.6521539156503
236,132.6521539156504
237,132.6521539156503
238,132.65215391565033
239,132.65215391565033
240,132.65215391565036
241,132.65215391565042
242,131.81291185934276
243,129.20920307273124
244,131.51320154771034
245,132.65215391565042
246,132.6521539156504
247,132.65215391565044
248,74.12519388558763
249,132.6521539156503
250,132.6521539156369
251,132.65215391565036
252,132.65215391565042
253,132.6521539156503
254,132.65215391565036
255,132.65215391565033
256,132.65215391565042
257,98.66878117810558
258,102.18420099872023
259,92.92251506558921
260,90.3882518514649
261,132.65215391565036
262,132.65215391565036
263,132.6521539156504
264,132.65215391565036
265,129.17147707274012
266,126.85404394678282
267,125.74211777050081
268,126.66733509590587
269,132.65215391565036
270,132.6521539156504
271,126.89682683045137
272,68.00377839606479
273,86.18133043494372
274,0.07847749657914149
275,0.0
276,21.57711576239784
277,132.65215391562228
278,132.65215391565036
279,132.65215391565033
280,132.6521539156503
281,132.65215391565042
282,95.94751972831558
283,95.63144315611098
284,132.65215391565053
285,132.65215391565033
286,132.65215391565033
287,132.65215391565027
288,132.6521539156504
289,130.21903710177793
290,127.58694276955215
291,125.93388063028091
292,128.34584733696227
293,132.65215391565042
294,132.6521539156504
295,132.65215391565033
296,132.65215391565036
297,132.65215391565044
298,132.65215391565033
299,132.65215391565036
300,132.65215391565047
301,132.65215391565042
302,132.65215391565033
303,132.65215391565036
304,132.65215391565042
305,132.65215391565042
