,hp_direct_qw
0,160.7649968832634
1,155.47191785999618
2,157.38316212184804
3,153.86252810082897
4,150.91935475567777
5,151.58789789352073
6,141.8532205019635
7,142.5151381813015
8,0.0
9,0.0
10,0.0
11,154.73477799392757
12,156.88052500765986
13,170.08908002874807
14,165.5534117732503
15,146.17627674520972
16,142.91637987324117
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,146.9258086015278
23,141.1694651205744
24,139.23232427187776
25,137.98098801939597
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405086
33,137.313404100539
34,146.5976110259744
35,150.4864989955519
36,152.90560660779371
37,157.51009832426578
38,143.61352375535458
39,148.40778696705084
40,151.37612454333527
41,148.57894770661363
42,0.0
43,0.0
44,0.0
45,148.49091280702706
46,142.24651906203428
47,157.29026537752037
48,139.34170464351698
49,137.68745591172674
50,148.8771655610484
51,142.767061077632
52,137.59708667539297
53,151.51485513005298
54,151.9150522841687
55,146.47607152827132
56,138.35675292475662
57,142.98684050875198
58,154.32675384039993
59,158.22757237723616
60,159.91141265343293
61,152.2944227460984
62,151.14391162578474
63,165.53197045549337
64,135.75224589530546
65,110.32306081921801
66,0.0
67,0.0
68,0.0
69,120.62912199296558
70,140.26811336231543
71,195.91946747337514
72,185.15023264648386
73,175.36285132944704
74,169.45520580589337
75,169.03668516955267
76,169.8347627034324
77,180.1573288379252
78,171.5514531816001
79,0.0
80,0.0
81,5.069876236024356
82,0.0
83,203.22506409391
84,213.56852557536178
85,201.9355858417183
86,194.13848656723906
87,177.38540112194096
88,150.847207675953
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,142.0140890101393
95,191.09033103646385
96,197.08668944234597
97,190.48773134950738
98,189.7567809937524
99,185.12141656209874
100,181.81774668801327
101,191.72524131982811
102,181.44177616681614
103,0.0
104,0.0
105,32.33554161853206
106,168.06443719787546
107,232.7335978834537
108,209.7783642739281
109,215.64119881700458
110,209.06381559943318
111,190.94162303076976
112,158.8711600183016
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,151.42296284476475
119,192.48539270084444
120,230.0510379670458
121,220.90814912781195
122,219.0488601620159
123,221.33061854010663
124,213.57271106137418
125,227.2196832482339
126,221.21487668366842
127,231.18240661946214
128,206.07280061410427
129,253.72818524028378
130,218.3372236676565
131,217.91733110734972
132,211.9957695269851
133,220.34514604161524
134,205.65911314112404
135,174.96878378859256
136,156.4875333902342
137,124.6313538295877
138,106.82009780474314
139,105.88350077204151
140,126.3569803029993
141,140.57351354765643
142,150.39182288152966
143,208.8279019734683
144,247.50194269677243
145,226.4398248408253
146,202.09942384418062
147,203.58692368906296
148,203.66032062879214
149,207.47421261226918
150,199.524388008738
151,220.35675978889475
152,192.24504575661174
153,204.47275047908937
154,211.96749186901943
155,202.31179283600636
156,200.32017630108626
157,193.7470923827239
158,195.21806115923408
159,159.14627071216538
160,120.91049560616416
161,113.60520460395459
162,91.8784085568594
163,87.80398383237522
164,95.77776190749107
165,112.90580498089462
166,125.80559830424582
167,195.48157174652937
168,224.5035810243296
169,205.67211815888683
170,205.42754011609375
171,196.37693210558157
172,193.0154509439169
173,203.25427839817544
174,190.41838423163244
175,211.14248735782527
176,0.0
177,0.0
178,0.0
179,219.2851676793844
180,225.76136711196918
181,236.28248483109468
182,221.13824909743212
183,168.00392875439024
184,131.9062459062929
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,157.43132695209198
191,197.44049700471172
192,221.51237721111787
193,212.28897930123088
194,217.5737048321357
195,216.07900804523703
196,194.76870201054047
197,207.24241666275506
198,211.6446636281771
199,222.1467675774417
200,195.12100598700775
201,191.1850354300957
