,pv_installed_capacity
0,2.997435710055579
1,3.59396548109457
2,2.997435710055579
3,4.836329016370306
4,1.9816355598863742
5,3.0110769530570787
6,2.848216556907633
7,3.696777551080361
8,8.455100976113739
9,4.734920839143139
10,2.530864197530864
11,1.620605306264704
12,7.345744286503805
13,1.8416631243233803
14,2.655882271179342
15,4.734920839143139
16,7.345744286503805
17,1.5744193754081874
18,1.5744193754081874
19,3.696777551080361
20,6.65466930133479
21,4.06862936244882
22,2.9276960784313726
23,4.625437541581061
24,6.39906103286385
25,1.8340341177406978
26,1.7694616797937324
27,1.8340341177406978
28,2.388071275618847
29,0.48632252868480536
30,0.6518087398750094
31,6.609538222805605
32,3.894534202118842
33,1.0473417621200545
34,1.0473417621200545
35,4.559542859157021
36,3.591409806238454
37,1.9816355598863742
38,2.655882271179342
39,3.591409806238454
40,1.637832740236693
41,2.342013232263586
42,3.4144962449869904
43,1.4024220605755329
44,4.9056340012543975
45,0.48632252868480536
46,8.455100976113739
47,4.625437541581061
48,5.223137588413307
49,2.342013232263586
50,2.605866769650267
51,3.59396548109457
52,1.4318466462138897
53,4.06862936244882
54,8.844034535878285
55,1.107008275651651
56,2.5145296670825443
57,4.344217446798564
58,1.7694616797937324
59,2.9276960784313726
60,6.609538222805605
61,1.8340341177406978
62,2.7095045908520428
63,2.7095045908520428
64,1.9816355598863742
65,1.0473417621200545
66,3.458770539824746
67,2.4045872235644503
68,2.091168916264294
69,1.9951589019089835
70,2.2531328320802007
71,1.7570694087403598
72,5.745559779789815
73,2.605866769650267
74,3.1996332385946804
75,1.3631713554987213
76,3.59396548109457
77,2.8994060852550088
78,3.0373685305587763
79,4.6632898151915825
80,2.7095045908520428
81,4.104196101264094
82,3.694109520140193
83,3.2740177371510475
84,1.5890243523241443
85,3.591409806238454
86,1.8340341177406978
87,3.59396548109457
88,2.410854030230622
89,1.5387891130332911
90,2.7095045908520428
91,8.83424523136471
92,1.5890243523241443
93,1.572499630410142
94,2.727705438697604
95,1.637832740236693
96,4.344217446798564
97,3.320202549553894
98,1.5890243523241443
99,4.559542859157021
