,stes_charge_qw
0,108.7854555134873
1,143.623393458062
2,141.71214919621013
3,145.2327832172292
4,148.1759565623804
5,147.50741342453745
6,142.44290275089196
7,0.0
8,0.0
9,0.0
10,0.0
11,77.99645753147786
12,73.39165836108907
13,43.673621804446896
14,41.970285293451894
15,54.195015237370484
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,28.049078950006617
23,88.89039198809988
24,124.62811029070679
25,157.6574377857433
26,164.88336431898446
27,161.76288799459948
28,165.8027478688089
29,150.08779482180958
30,154.71504368632498
31,156.945843889034
32,135.27806795505245
33,66.97326994802933
34,127.52355830903105
35,148.60881232250628
36,33.09372734700577
37,16.265658395460576
38,47.950509257660315
39,30.92003568105261
40,17.13771083362178
41,12.599357160178613
42,0.0
43,0.0
44,0.0
45,17.18428736100512
46,47.43949987107959
47,61.41399250199174
48,120.967871033985
49,156.14637357040485
50,150.21814575700978
51,156.32825024042617
52,161.4982246426652
53,147.5804561880052
54,147.18025903388948
55,149.68460480349384
56,116.2229675964644
57,64.46314276445511
58,34.25770242220355
59,42.379978275905245
60,54.05685781165619
61,72.26855860697242
62,44.189284998520435
63,4.76040265793759
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,80.57292703991834
73,123.73245998861114
74,129.6401055121648
75,130.0586261485055
76,129.26054861462578
77,114.81311942280178
78,101.14136811015146
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,82.75112040218244
85,97.15972547633987
86,12.244581480319823
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,5.57912381987876
96,63.86784063164259
97,106.28992444601073
98,109.3385303243058
99,113.97389475595944
100,117.2775646300449
101,101.693944386608
102,88.89401408058356
103,0.0
104,0.0
105,0.0
106,2.135511982936947
107,66.36171343460447
108,89.31694704413007
109,44.81616313324082
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,37.51353768104323
121,78.18716219024623
122,80.04645115604228
123,77.76469277795155
124,85.522600256684
125,71.12082824341886
126,47.966215114335284
127,0.0
128,0.0
129,11.683041765386918
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,8.341347140415735
145,72.65548647723287
146,96.99588747387756
147,95.50838762899522
148,95.43499068926604
149,91.25788697148971
150,73.66023776442736
151,1.8859813247410102
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,31.653623795610315
169,93.21869806472469
170,93.66777120196443
171,102.7183792124766
172,106.07986037414128
173,90.10201854330191
174,79.7482302102161
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,73.333944206089
181,62.8128264869635
182,5.9605045074209215
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,3.516216169187061
193,60.204420349413
194,71.02587141121674
195,83.01630327282115
196,104.32660930751771
197,91.85289465530312
198,87.45064768988107
199,48.11399690183433
200,30.830473720966694
201,38.460129557183734
202,25.678053795363837
203,82.92641040824503
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,11.990012002635666
216,40.730308773161966
217,87.64552556469764
218,116.1328619039717
219,121.25780613961595
220,121.46212717700516
221,114.45321178448927
222,111.83252026953537
223,102.0616390201782
224,71.2476401899282
225,1.1911082123320682
226,0.0
227,71.78175055683616
228,82.27907360517798
229,92.60287096422414
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,9.265175359746138
241,48.875757945408594
242,82.83678607138154
243,83.32407728476997
244,77.8940757597492
245,62.130537134584216
246,52.0634601399766
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,3.300727332639269
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,57.460609532121765
265,94.78735128477896
266,89.09791815882164
267,84.38499198253967
268,86.45120930794462
269,82.87371290334323
270,44.74494251202657
271,0.0
272,0.0
273,0.0
274,13.385238813982511
275,101.00110668269485
276,69.89243524240695
277,51.003469775521154
278,2.1108963607525197
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,46.94021128840046
289,92.81491131381671
290,90.54581698159097
291,93.12375484231964
292,90.27572154900108
293,91.31267012599423
294,74.77512586076384
295,8.612827747923973
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,26.71462678782001
313,75.55841003701278
314,84.94505276854667
315,90.51182230803096
316,90.30291555002012
317,75.4922802239308
