,stes_hp_direct_qw
0,160.7649968832634
1,155.47191785999618
2,157.38316212184804
3,153.86252810082897
4,150.91935475567777
5,151.58789789352073
6,141.8532205019635
7,142.5151381813015
8,141.3320739458016
9,132.5808488436582
10,134.69155052908778
11,154.73477799392757
12,156.88052500765986
13,170.08908002874807
14,165.5534117732503
15,146.17627674520972
16,142.91637987324117
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,146.9258086015278
23,141.1694651205744
24,139.23232427187776
25,137.98098801939597
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405086
33,137.313404100539
34,146.5976110259744
35,150.4864989955519
36,152.90560660779371
37,157.51009832426578
38,143.61352375535458
39,148.40778696705084
40,151.37612454333527
41,148.57894770661363
42,138.5251265619702
43,130.27333304363367
44,136.47071592793426
45,148.49091280702706
46,142.24651906203428
47,157.29026537752037
48,139.34170464351698
49,137.68745591172674
50,148.8771655610484
51,142.767061077632
52,137.59708667539297
53,151.51485513005298
54,151.9150522841687
55,146.47607152827132
56,138.35675292475662
57,142.98684050875198
58,154.32675384039993
59,158.22757237723616
60,159.91141265343293
61,152.2944227460984
62,151.14391162578474
63,165.53197045549337
64,129.24165362589062
65,103.81246854980301
66,92.69667955185894
67,102.95847490454588
68,90.15681378893755
69,114.11852972355086
70,133.7575210929006
71,189.4088752039602
72,185.15023264648386
73,175.36285132944704
74,169.45520580589337
75,169.03668516955267
76,169.8347627034324
77,180.1573288379252
78,171.5514531816001
79,186.94631703005876
80,0.0
81,9.411207842074244
82,198.37496803370004
83,197.28476340218094
84,213.56852557536178
85,201.9355858417183
86,194.13848656723906
87,170.87480885252594
88,144.33661540653796
89,0.0
90,0.0
91,0.0
92,0.0
93,119.28906534403473
94,135.50349674072447
95,191.09033103646385
96,197.08668944234597
97,190.48773134950738
98,189.7567809937524
99,185.12141656209874
100,181.81774668801327
101,191.72524131982811
102,181.44177616681614
103,213.55850209766322
104,0.0
105,231.48495470949334
106,239.3152705835996
107,232.7335978834537
108,209.7783642739281
109,215.64119881700458
110,203.99531030829678
111,184.4310307613549
112,152.36056774888644
113,113.64850078763448
114,0.0
115,0.0
116,104.24103851659665
117,120.98632307698419
118,144.91237057535
119,185.9748004314295
120,230.0510379670458
121,220.90814912781195
122,219.0488601620159
123,221.33061854010663
124,213.57271106137418
125,227.2196832482339
126,221.21487668366842
127,224.67181435004736
128,199.5622083446893
129,253.72818524028378
130,213.53750613129887
131,213.4978079561164
132,205.67527445013167
133,213.83455377220034
134,199.14852087170908
135,168.45819151917775
136,149.97694112081902
137,118.12076156017274
138,100.3095055353281
139,99.37290850262667
140,119.84638803358436
141,134.06292127824145
142,143.8812306121146
143,202.31730970405363
144,247.50194269677243
145,226.4398248408253
146,202.09942384418062
147,203.58692368906296
148,203.66032062879214
149,207.47421261226918
150,199.524388008738
151,219.13051190631634
152,185.73445348719684
153,198.34235259479829
154,208.1182602954717
155,199.41304722526837
156,197.61152788291034
157,187.61669449843322
158,188.7074688898194
159,152.63567844275053
160,114.39990333674926
161,107.0946123345393
162,85.36781628744477
163,81.2933915629603
164,89.26716963807615
165,106.3952127114795
166,119.29500603483083
167,188.97097947711458
168,224.5035810243296
169,205.67211815888683
170,205.42754011609375
171,196.37693210558157
172,193.0154509439169
173,203.25427839817544
174,190.41838423163244
175,211.14248735782527
176,179.9942791769481
177,180.48198805799674
178,180.0685991268163
179,218.857685571952
180,225.76136711196918
181,236.28248483109468
182,221.13824909743212
183,161.49333648497515
184,125.3956536368779
185,0.0
186,0.0
187,0.0
188,0.0
189,118.61918937655321
190,150.92073468267697
191,190.92990473529684
192,221.51237721111787
