,stes_soc
0,250254.15103886498
1,250382.05188416762
2,250508.05313953187
3,250637.53247522606
4,250769.91800236827
5,250899.58364931084
6,251022.8954839903
7,251008.25790539396
8,250993.62118034012
9,250978.985308779
10,250964.35029066083
11,251023.85916218185
12,251078.80394961685
13,251104.32374551412
14,251128.1557501621
15,251164.08884776922
16,251149.443035944
17,250973.83742015783
18,250793.83919353253
19,250619.32222453202
20,250449.8091602688
21,250277.13114797496
22,250287.22939337205
23,250357.55994983064
24,250463.26674631264
25,250601.66641306883
26,250750.5943653021
27,250896.42436172813
28,251046.24531583066
29,251180.49973009806
30,251319.32729213455
31,251456.97256256404
32,251573.1587084854
33,251621.71632936492
34,251730.2913493565
35,251863.04168304388
36,251878.05469306768
37,251876.39399949874
38,251906.10140512127
39,251918.94690961286
40,251918.14716346192
41,251912.85449380885
42,251877.2493267834
43,251831.19048274576
44,251798.8288584077
45,251798.0822273099
46,251827.28830013436
47,251870.32741760692
48,251972.3223651409
49,252109.1380826844
50,252241.78724737273
51,252382.14999838962
52,252527.62283927028
53,252659.30860660822
54,252790.59049993905
55,252920.96135177507
56,253018.19758062655
57,253064.18591288192
58,253080.27283464515
59,253104.41663702799
60,253140.13311360177
61,253193.8687084831
62,253219.7756778633
63,253206.6465430462
64,253129.901304532
65,253022.60216737658
66,252891.3754223741
67,252785.06258892655
68,252658.96662067933
69,252557.55525509344
70,252476.6080463258
71,252448.964449387
72,252510.9346610421
73,252618.9008540994
74,252732.82035168953
75,252847.147541867
76,252960.67796866997
77,253056.516131885
78,253138.8136728117
79,253124.05271137122
80,252906.77689243507
81,252696.21144763552
82,252681.47629509523
83,252658.21739795568
84,252722.4119213578
85,252804.16980680337
86,252798.4751751377
87,252761.9137749906
88,252701.6109421918
89,252485.52896267583
90,252267.43562707878
91,252048.00815277087
92,251841.52325674493
93,251749.22018774087
94,251676.2736333419
95,251664.04503674523
96,251709.5229828628
97,251796.99614005897
98,251890.86500489656
99,251989.31740686588
100,252091.03470108096
101,252173.93559141114
102,252244.15971664424
103,252229.45092402116
104,251999.7064720894
105,251985.01193395723
106,251972.7913026309
107,252024.10286782816
108,252098.13712223287
109,252124.7686460773
110,252104.95393930926
111,252073.96073844438
112,252005.36600275067
113,251883.19946426695
114,251644.44082023995
115,251408.93837078704
116,251274.2857610145
117,251149.3475919978
118,251055.9295349397
119,250987.08051437855
120,251006.5071755456
121,251069.58228070734
122,251134.4944039269
123,251197.14380121412
124,251267.46987371074
125,251320.15140254667
126,251349.90679243385
127,251320.57296215615
128,251268.0138349738
129,251261.9040830617
130,251212.38183906005
131,251152.97015231676
132,251078.5131281886
133,251029.01144618748
134,250960.30286424994
135,250872.72634987053
136,250782.83490829068
137,250653.06946294065
138,250495.72858374772
139,250339.08940662394
140,250224.1846021425
141,250119.07103213013
142,250021.51363142708
143,249986.80372356687
144,249977.40824396606
145,250031.84926887712
146,250113.6018460556
147,250193.87703125368
148,250274.0748724967
149,250346.75001605172
150,250401.99924907862
151,250386.16089330163
152,250329.9739267975
153,250286.86430165987
154,250248.20731306012
155,250177.51992238758
156,250098.18010437436
157,250021.58456247332
158,249963.70371390175
159,249877.08092703007
160,249748.70913397224
161,249628.3244285141
162,249469.78459067582
163,249305.06381256966
164,249157.52622754595
165,249021.09996830198
166,248897.5502120013
167,248853.90225501097
168,248867.6519907401
169,248942.35034822478
170,249020.87162085788
171,249108.34841671036
172,249199.14797798984
173,249270.74149264477
174,249332.08058210844
175,249317.54159784937
176,249259.21312329773
177,249191.21041286306
178,249119.99089659398
179,249085.8829013282
180,249144.2653156043
181,249192.22841895907
182,249180.55111226562
183,249118.26803819445
184,249019.3713011097
185,248797.56835390185
186,248561.7720797292
187,248327.92910526184
188,248098.9321143431
189,247992.25982372876
190,247932.6284640038
191,247900.32460172384
192,247886.27390866276
193,247928.3453570603
194,247981.12758875018
195,248046.5219229789
196,248135.64768263922
197,248212.41926771685
198,248284.82815161502
199,248314.90684041317
200,248327.87308732196
201,248348.43385137618
202,248356.3363672291
203,248424.25786416378
204,248339.61163318474
205,248195.7690937084
206,248089.61517568913
207,248005.75397421626
208,247942.15903389448
209,247833.40796312146
210,247730.88619853876
211,247584.41474796995
212,247477.66573180608
213,247401.7553044585
214,247368.7914539209
215,247363.1608133508
216,247385.98339491594
217,247455.25071028052
218,247554.32965320864
219,247660.2459983141
220,247766.35844508154
221,247865.52587801035
222,247962.09304371508
223,248045.59871745194
224,248098.59366298676
225,248082.1868043834
226,248045.20656152457
227,248098.82902983206
228,248162.88263509056
229,248240.39510859692
230,248201.79398083608
231,248126.0321835649
232,248022.37657113312
233,247844.16990729785
234,247648.2607374453
235,247470.4029188236
236,247288.38068513846
237,247131.99997562013
238,246984.1344198352
239,246896.4373126957
240,246888.136627635
241,246919.05090336135
242,246986.07734317487
243,247054.4724324877
244,247117.48783205496
245,247161.51096531373
246,247195.56512528294
247,247168.53517459848
248,246922.75587958633
249,246673.83224752746
250,246604.4407938823
251,246524.47614908082
252,246465.53353568018
253,246451.37832218723
254,246414.42611073033
255,246306.42964395066
256,246201.64712333493
257,245968.63086306586
258,245726.39326090325
259,245500.7650507678
260,245283.52245880288
261,245185.80643002223
262,245118.10457044782
263,245075.79210611025
264,245115.31106584673
265,245195.16388403234
266,245269.3795070675
267,245338.925005547
268,245410.51200386052
269,245475.17041783917
270,245502.0775787866
271,245487.76192861772
272,245235.30345503337
273,245221.00336092443
274,245220.35646436195
275,245306.4171802301
276,245361.61288780617
277,245394.79246906668
278,245379.47769884387
279,245306.23655863255
280,245219.67317533068
281,245105.6658839771
282,244860.0880156511
283,244617.15469307938
284,244483.34115710348
285,244359.79996940494
286,244266.50245087125
287,244230.94397455335
288,244260.09700458232
289,244338.0469762057
290,244413.7459990427
291,244491.99276622105
292,244567.41541773488
293,244640.47756178203
294,244697.16327662684
295,244688.345010898
296,244601.17923923902
297,244523.29951561787
298,244476.37506628648
299,244398.41439943184
300,244336.78109190203
301,244279.43116527647
302,244222.62798084464
303,244147.73240295827
304,244057.87629300903
305,243908.12807406342
306,243758.81379831553
307,243587.08119492457
308,243427.66790688067
309,243310.11251428153
310,243190.49213100583
311,243095.71292324114
312,243104.90882189787
313,243162.45952974257
314,243232.6823465431
315,243308.41217037398
316,243383.9307605776
317,243441.3997296562
318,243491.26377862
319,243471.49788564816
320,243411.28759042153
321,243360.909183989
322,243283.6463325643
323,243226.527443064
324,243164.2668685764
325,243125.04160518886
326,243074.3446830782
327,243005.96278912507
328,242921.20512211844
329,242796.2966832551
330,242670.4304730807
331,242513.23014210074
332,242366.0491469914
333,242252.64094143588
334,242150.66348597154
335,242071.5795400922
336,242058.1193070496
337,242090.63121536974
338,242137.80974259888
339,242191.83180338147
340,242246.21314091017
341,242290.9666980257
342,242312.44583555995
343,242248.16913054956
344,241974.11140459997
345,241692.48198991606
346,241587.05222751253
347,241492.63804412226
348,241430.87536151253
349,241376.3943196695
350,241333.54473111272
351,241266.0334470004
352,241179.8432156961
353,240933.0873159963
354,240678.95919622018
355,240407.5244726108
356,240146.81329700656
357,239885.99513528674
358,239800.67775693064
359,239766.03802430956
360,239774.07567239946
361,239827.14616069023
362,239893.84205325096
363,239960.26211166888
364,240027.49351682095
365,240087.84931949846
366,240137.77960156344
367,240187.27106904163
368,240204.30091319483
369,240159.15079510206
370,240078.00995232543
371,239998.6164432252
372,239982.3032283313
373,239884.1996655113
374,239808.09950569255
375,239745.7077411876
376,239655.44540955935
377,239545.21303621
378,239433.68727878507
379,239296.20787211508
380,239146.88645175766
381,239040.46849562845
382,238963.89014984344
383,238927.81952697563
384,238929.95927045707
385,238967.3856033774
386,239024.54233489183
387,239092.99939509036
388,239168.49319407923
389,239227.63529324834
390,239290.5390886698
391,239341.07015658324
392,239352.32689886267
393,239299.22296329963
394,239235.16890282452
395,239270.52964283823
396,239297.4338909233
397,239331.63539414573
398,239303.08329921667
399,239189.08097514257
400,239075.32236852054
401,238904.48153952294
402,238716.06873241058
403,238501.70922030517
404,238326.66115565313
405,238163.5993961278
406,238023.3963415895
407,237939.05461667944
408,237925.01593319085
409,237946.00207396346
410,237977.51031789125
411,238023.2706239187
412,238078.06731395962
413,238122.45633085122
414,238145.14888784103
415,238092.96525565206
416,237832.6271515598
417,237574.2420171365
418,237506.7257224158
419,237549.2591304891
420,237602.44943164874
421,237653.66162182527
422,237718.2121808221
423,237627.3580990873
424,237517.5149331642
425,237281.9435189369
426,237057.2650285293
427,236831.72682739093
428,236599.8301052567
429,236369.34218632863
430,236278.08732870387
431,236209.09032492054
432,236216.78719189315
433,236255.01092353233
434,236337.48130646988
435,236417.46166177932
436,236503.51649594135
437,236567.0627079367
438,236614.57215275004
439,236593.91018440196
440,236362.74473809672
441,236126.96378717147
442,236078.13768138745
443,236153.2383028564
444,236150.08366104736
445,236165.10280667388
446,236261.3941821717
447,236212.8507583018
448,236143.7489383793
449,235943.36495127407
450,235725.38666869857
451,235501.91815702242
452,235301.0949784007
453,235228.04907993678
454,235146.84768988806
455,235096.11114590944
456,235100.74240605836
457,235149.3556170229
458,235228.96202376924
459,235325.53491393215
460,235425.44631294569
461,235492.35018492147
462,235546.75651958789
463,235533.4371769099
464,235466.76952695847
465,235414.88084210476
466,235369.3740898634
467,235347.95127828987
468,235349.20350269377
469,235413.88559609538
470,235488.44574763396
471,235431.92183685626
472,235372.24593464076
473,235261.27350459067
474,235114.0977005332
475,235001.48245530098
476,234916.5421635876
477,234856.9384729385
478,234762.02895556676
479,234717.4284587928
480,234762.673136504
481,234848.57375798043
482,234957.28785862544
483,235076.73458356832
484,235193.2344315093
485,235282.23971260394
486,235363.99051423324
487,235403.7641123464
488,235393.96866886193
489,235395.94459401316
490,235411.7360364471
491,235508.5911376141
492,235607.45773291425
493,235644.85981399834
494,235622.10667352163
495,235597.50572890486
496,235574.056700286
497,235475.91797581065
498,235394.52557150606
499,235250.2311505125
500,235125.53843914825
501,235042.50165899048
502,234935.43860591654
503,234890.90960698272
504,234924.51047304182
505,235016.62334066964
506,235116.37394825477
507,235240.91750550532
508,235366.71159461248
509,235466.62446489945
510,235553.8964439698
511,235540.16088942517
512,235354.925838258
513,235171.07664405394
514,235157.36341239305
515,235245.25318565784
516,235261.08428239165
517,235281.7147304008
518,235287.17735707675
519,235259.53252363953
520,235191.81585267323
521,235014.2464440588
522,234850.31662357104
523,234672.917476736
524,234502.97459964748
525,234336.36097205995
526,234307.104204466
527,234312.36963250468
528,234396.8314612382
529,234518.8450458141
530,234662.00063002898
531,234804.20108583398
532,234947.8510606871
533,235087.75463969875
534,235230.35397638005
535,235345.9534749933
536,235416.99522224988
537,235432.05876365633
538,235456.23452697144
539,235468.8370505019
540,235459.6467268999
541,235452.47388414692
542,235438.90216593104
543,235405.0492074009
544,235408.4993829572
545,235357.44282205074
546,235294.57661727222
547,235233.93117019077
548,235204.82246368087
549,235197.2459803289
550,235215.75858823373
551,235261.5690327648
552,235323.14838892987
553,235440.11789373704
554,235579.56296985073
555,235716.184744562
556,235846.5441115483
557,235970.09331819182
558,236097.05472475773
559,236204.7773675668
560,236284.49974426036
561,236328.5397289713
562,236344.1227780759
563,236301.38231697908
564,236243.99649267117
565,236214.9428208035
566,236162.3386272907
567,236119.35314356527
568,236107.14145054002
569,236041.5173416096
570,235962.3687181738
571,235861.7577226132
572,235792.31857312072
573,235704.48787131693
574,235651.4333473615
575,235636.60766608245
576,235701.3175643473
577,235793.2731304881
578,235905.12477264952
579,236014.10210139654
580,236118.23895890455
581,236208.49340892272
582,236287.2144804584
583,236273.43616487252
584,236069.5888830256
585,235860.5105819153
586,235824.88058679696
587,235798.57594536102
588,235790.00885283208
589,235792.8961498691
590,235780.52785461172
591,235746.34923144535
