,stes_temperature
0,32.28940387536697
1,32.30117761407725
2,32.31277546884982
3,32.324695372116715
4,32.336884371203425
5,32.34901137640759
6,32.36090007687861
7,32.3594212389924
8,32.34474162396711
9,32.33088025707937
10,32.316822552248865
11,32.32275373000111
12,32.328296994567474
13,32.331133052176455
14,32.33381280522985
15,32.33761300226708
16,32.336135522290405
17,32.31975436384004
18,32.302966489241655
19,32.28668614557484
20,32.27086913349774
21,32.25475907775366
22,32.25616717372394
23,32.26315230794752
24,32.273412992366936
25,32.28670076682184
26,32.3004234938173
27,32.31385937695377
28,32.327664797109165
29,32.340028874884034
30,32.35281639616741
31,32.36597213713974
32,32.36449300349294
33,32.363013956096964
34,32.37213539337004
35,32.38363427431469
36,32.385255506618975
37,32.385575846232925
38,32.38880061182968
39,32.39046406264026
40,32.39086403667447
41,32.38938345153801
42,32.373027628864826
43,32.35647537828258
44,32.340613250100006
45,32.339135595173694
46,32.342316226254596
47,32.34677766702524
48,32.356697953173665
49,32.36984235691891
50,32.38221592408314
51,32.39514886263429
52,32.40855496136364
53,32.420684482918546
54,32.43277661244098
55,32.44532425110457
56,32.44384049029895
57,32.44235681601398
58,32.44423674849949
59,32.44655025995848
60,32.449674972672
61,32.454624335763214
62,32.457500296132864
63,32.45676177458574
64,32.45014653810979
65,32.4407022083252
66,32.41977605725266
67,32.40019877736877
68,32.37998600901848
69,32.37108839176318
70,32.36408557513463
71,32.36201824941328
72,32.3682347769909
73,32.378180583367126
74,32.3886673439592
75,32.3991918574418
76,32.40964260011458
77,32.418995034935826
78,32.42709368053012
79,32.408149604621734
80,32.387916556142024
81,32.36789935117882
82,32.347891254790284
83,32.34617870320176
84,32.35111063387113
85,32.35862160478875
86,32.35855762912331
87,32.355666641062705
88,32.35057734337596
89,32.33045591185933
90,32.31014825030678
91,32.28971706402997
92,32.270484271268614
93,32.25068189998674
94,32.24442254140895
95,32.243771494233584
96,32.248463617396304
97,32.25702996050053
98,32.26566280786912
99,32.27472006024769
100,32.28407962088736
101,32.292236786457806
102,32.29922014942512
103,32.27779786766439
104,32.25641308700007
105,32.236339155946766
106,32.22821252789937
107,32.232907514114
108,32.2397064563034
109,32.24190981860262
110,32.240569581784996
111,32.2381973033354
112,32.232343372282635
113,32.21030582022077
114,32.18808845822542
115,32.166172602146645
116,32.14385825742643
117,32.12087990951017
118,32.112729371552646
119,32.10685371526788
120,32.109138011238976
121,32.114923940363596
122,32.12087996692256
123,32.126626484990666
124,32.13308380948827
125,32.13828978499767
126,32.14153040997529
127,32.139313475419364
128,32.13494602130237
129,32.133893784368674
130,32.1296477212841
131,32.12445043791004
132,32.1180376068252
133,32.11395318317919
134,32.10809031377106
135,32.1004803844816
136,32.092656080983005
137,32.08113971100201
138,32.06707003101505
139,32.053065294349025
140,32.04292482235499
141,32.033690917055644
142,32.02515662797491
143,32.02244152210835
144,32.022056622834015
145,32.02734055955111
146,32.03485539157741
147,32.042233431248434
148,32.04960431264041
149,32.05662515745841
150,32.0622258298511
151,32.061246868818614
152,32.05654301074257
153,32.053014477171544
154,32.049685129598394
155,32.04330121107786
156,32.03609837679727
157,32.02946923603061
158,32.02460842159812
159,32.01708628751253
160,32.005698475637935
161,31.995050179845087
162,31.980868972359772
163,31.966115426527416
164,31.952952888030296
165,31.94081914693467
166,31.929877645572194
167,31.926334429904472
168,31.92809209349405
