,pv_installed_capacity
0,5.009175782580243
1,6.6888546798748685
2,5.009175782580243
3,7.672162400081889
4,4.057658350119747
5,3.6069339075550397
6,5.843492259463099
7,6.479171471823124
8,9.041707477756463
9,7.632924368833886
10,2.9956858719696324
11,2.1731059812561937
12,12.058009893123208
13,3.066754249615723
14,3.4372056061334986
15,7.632913192274797
16,12.058009893123208
17,3.0095308899920705
18,3.0067392105931905
19,6.479171471823124
20,7.30423384873658
21,5.271686088558
22,4.558342703772036
23,7.736806936652471
24,11.370996833256678
25,2.326328717807338
26,3.3244494996920966
27,2.326328717807338
28,3.4051429545463323
29,1.2496742244983956
30,1.4860350286355224
31,11.981936672406881
32,4.424309771440994
33,1.8170968956451532
34,1.8170968956451532
35,5.996200214338185
36,5.665134160843104
37,4.057658350119747
38,3.4372056061334986
39,5.661947226840964
40,2.673845887633619
41,3.5960167185213665
42,3.5656235971748877
43,2.5215882235286506
44,6.475276221374229
45,1.2496742244983956
46,9.041707477756463
47,7.736806936652471
48,7.777148929855023
49,3.5960167185213665
50,3.0202043249876476
51,6.691683289641977
52,2.8754045266383925
53,5.271686088558
54,13.505219622732547
55,2.164125145881721
56,3.1994376184891524
57,6.493208802420303
58,3.3244494996920966
59,4.558342703772036
60,11.981936672406881
61,2.3231887141112755
62,4.628357650656154
63,4.628357650656154
64,4.057658350119747
65,1.8170968956451532
66,5.354587485404362
67,3.7705219788395796
68,3.170725412806664
69,3.16116448780918
70,4.087761728903439
71,3.787389374803864
72,8.370632544384682
73,3.0202043249876476
74,4.720613982044709
75,3.0736576598194967
76,6.691683289641977
77,3.906062259537991
78,5.396608174259422
79,6.469919544308761
80,4.628357650656154
81,6.000852485563751
82,4.846562326042772
83,6.386572719388151
84,2.623570940250238
85,5.661947226840964
86,2.326328717807338
87,6.690402375796405
88,3.8362987461901406
89,2.2544225938368516
90,4.628357650656154
91,13.505219622732547
92,2.623570940250238
93,2.9465990740487737
94,4.131302603835139
95,2.673845887633619
96,6.493208802420303
97,4.41012482989566
98,2.623570940250238
99,5.996200214338185
