,stes_soc
0,317821.248970057
1,317812.6287184041
2,317802.1168375937
3,317795.0909974301
4,317790.979308567
5,317786.2060017571
6,317791.07030390465
7,317795.2790239038
8,317800.65873207833
9,317814.70183940395
10,317826.65453318314
11,317818.7637347899
12,317808.7491069792
13,317785.5722383746
14,317766.9720956956
15,317767.55769372464
16,317771.37055550964
17,317758.70224592485
18,317741.7136797472
19,317730.0951563995
20,317723.3781982221
21,317713.5458238508
22,317713.3925007202
23,317718.9379665763
24,317726.40087850695
25,317735.1021781523
26,317747.5343210199
27,317756.87646738667
28,317770.2175302722
29,317768.00001170085
30,317770.36359881266
31,317776.71187389473
32,317797.7146378852
33,317807.0726871817
34,317807.238825938
35,317803.55495591665
36,317797.476384172
37,317786.83972008
38,317789.9612850535
39,317788.3363474236
40,317783.7728503461
41,317781.97882444237
42,317769.61134588043
43,317755.1524985279
44,317747.99901785405
45,317746.2942325348
46,317750.7714964321
47,317740.35519040003
48,317747.7085668875
49,317756.6992208313
50,317754.6115379617
51,317758.5729802671
52,317767.6524662322
53,317762.9528319866
54,317757.85727660224
55,317758.14660929685
56,317739.6175829439
57,317721.08963705046
58,317702.5627715536
59,317524.57972618006
60,317346.96024303255
61,317175.19183242274
62,317004.22974218964
63,316818.763606151
64,316607.93597318005
65,316392.2140576146
66,316163.78395545686
67,315949.9218036983
68,315896.1297018656
69,315842.84650473285
70,315790.2137427822
71,315734.7444039137
72,315696.4954730137
73,315668.12183457124
74,315645.70921293035
75,315623.7200826615
76,315600.92717054556
77,315567.7226554904
78,315543.20128993614
79,315503.15172056475
80,315282.23846862576
81,315080.71223866625
82,314862.22775422037
83,314803.26433847076
84,314736.40265118465
85,314681.2796396355
86,314634.0251991136
87,314588.4205624533
88,314545.84553479933
89,314326.1573111485
90,314271.39112551237
91,314215.2812772772
92,314172.10448399116
93,314122.7666482253
94,314076.4264457736
95,314032.2821150067
96,313982.0915065928
97,313938.5605516295
98,313895.76948427915
99,313857.6568555294
100,313822.8790400826
101,313778.1090256823
102,313743.71511065256
103,313676.9253187372
104,313610.5309422525
105,313525.66553201585
106,313432.906206334
107,313346.79157964553
108,313283.83816296625
109,313214.97425818886
110,313152.749331988
111,312932.1507502281
112,312706.31290439714
