,monthly_peak
"(0, 0)",3.1710864602939703
"(0, 1)",6.0536560063995655
"(0, 2)",3.6447982805294177
"(0, 3)",4.529861605390479
"(0, 4)",2.658478008744973
"(0, 5)",3.8365885921530096
"(0, 6)",4.450035670975771
"(0, 7)",5.133975741478437
"(0, 8)",4.435165181623395
"(0, 9)",4.045845327112904
"(0, 10)",4.015118415386568
"(0, 11)",1.788617341795557
"(1, 0)",3.166779182180613
"(1, 1)",6.04731916719987
"(1, 2)",3.6447982805294177
"(1, 3)",4.529861605390479
"(1, 4)",2.658478008744973
"(1, 5)",3.833025781861713
"(1, 6)",4.446224704743787
"(1, 7)",5.129482346409563
"(1, 8)",4.430450218750343
"(1, 9)",4.046306188145609
"(1, 10)",4.010961803380056
"(1, 11)",1.788617341795557
"(2, 0)",3.5096151172385746
"(2, 1)",5.2023016567157985
"(2, 2)",3.0063411583072432
"(2, 3)",2.837566774431828
"(2, 4)",3.098369107237632
"(2, 5)",3.5122362583880506
"(2, 6)",3.697147560593767
"(2, 7)",3.9285353284057947
"(2, 8)",3.37197963974336
"(2, 9)",2.9755483646766656
"(2, 10)",3.5182985142373475
"(2, 11)",1.8539624003853437
"(3, 0)",2.4259385235140267
"(3, 1)",6.8411143543308475
"(3, 2)",3.310904024591899
"(3, 3)",3.8842727215711093
"(3, 4)",2.894517020908097
"(3, 5)",4.853227105478847
"(3, 6)",5.854994652271664
"(3, 7)",6.124643637144399
"(3, 8)",5.158573686614946
"(3, 9)",3.7463020845937978
"(3, 10)",3.1434452862377498
"(3, 11)",2.521452952562467
"(4, 0)",1.5830774342528535
"(4, 1)",3.1340894042693384
"(4, 2)",1.7545336689830753
"(4, 3)",1.7750706500401319
"(4, 4)",1.8715706314720266
"(4, 5)",2.177897152370342
"(4, 6)",2.4000729759214647
"(4, 7)",2.4996022863771037
"(4, 8)",2.1215132635768934
"(4, 9)",1.7523150963267138
"(4, 10)",2.1865393623601657
"(4, 11)",1.0955657868532385
