,stes_soc
0,1270.0829576150118
1,1270.0351778372199
2,1269.9873998568753
3,1269.9396236739103
4,1269.8918492882574
5,1269.844076699849
6,1269.7963059086173
7,1269.748536914495
8,1269.700769717414
9,1269.6530043173072
10,1269.605240714107
11,1269.5574789077452
12,1269.0685471441736
13,1269.0208055279102
14,1268.9730657076584
15,1267.9117166851536
16,1267.864018588175
17,1267.274949370888
18,1266.90533122617
19,1266.8576709888237
20,1266.8100125444275
21,1265.83799447613
22,1265.7903743913678
23,1265.7427560980452
24,1265.695139596095
25,1265.64752488545
26,1265.5999119660423
27,1265.5523008378048
28,1265.50469150067
29,1265.4570839545709
30,1265.4094781994395
31,1265.361874235209
32,1265.3142720618116
33,1265.2666716791803
34,1265.2190730872474
35,1265.1714762859456
36,1265.1238812752076
37,1263.9951697152926
38,1263.5537104227817
39,1263.506176271449
40,1262.8024418476225
41,1260.4672097358584
42,1258.8747617052395
43,1258.0485933785208
44,1253.4627485800333
45,1253.4155940447815
46,1253.3684412834557
47,1253.3212902959892
48,1253.2741410823153
49,1253.2269936423672
50,1253.1798479760782
51,1253.1327040833817
52,1253.0855619642107
53,1253.0384216184987
54,1252.9912830461788
55,1252.9441462471843
56,1252.8970112214488
57,1252.8498779689053
58,1252.8027464894872
59,1252.7556167831278
60,1252.7084888497604
61,1252.6613626893184
62,1252.6142383017348
63,1252.5671156869432
64,1252.5199948448767
65,1243.2889135574906
66,1242.479722548342
67,1240.7227905750544
68,1240.676115309569
69,1240.6294417999798
70,1240.5827700462207
71,1240.5361000482258
72,1240.489431805929
73,1240.442765319264
74,1240.396100588165
75,1240.3494376125657
76,1240.3027763924003
77,1240.2561169276028
78,1240.209459218107
79,1240.1628032638469
80,1240.1161490647564
81,1240.0694966207698
82,1240.0228459318207
83,1239.9761969978433
84,1239.9295498187716
85,1239.8829043945395
86,1239.2613867524192
87,1231.6809627768298
88,1229.693921425991
89,1228.8899716997025
90,1226.5336848112338
91,1222.9755788855327
92,1222.1637212180933
93,1211.592516145713
94,1208.1184177245452
95,1208.072969016491
96,1208.0275220181907
97,1207.9820767295798
98,1207.9366331505942
99,1207.8911912811693
100,1207.845751121241
101,1207.800312670745
102,1207.7548759296167
103,1207.709440897792
104,1207.6640075752068
105,1207.6185759617965
106,1207.573146057497
107,1207.527717862244
108,1207.4822913759729
109,1207.4368665986196
110,1207.3914435301201
111,1207.2986199065977
112,1206.534052380859
113,1205.5833386600625
114,1203.364151170199
115,1199.339380224439
116,1194.7445407997516
117,1194.699595209123
118,1194.654651309321
119,1194.6097091002823
120,1194.564768581943
121,1194.51982975424
122,1194.4748926171092
123,1194.4299571704873
124,1194.3850234143106
125,1194.3400913485154
126,1194.2951609730385
127,1194.2502322878158
128,1194.205305292784
129,1194.1603799878794
130,1194.1154563730386
131,1194.0705344481978
132,1194.0256142132937
133,1191.5421167417405
134,1190.768686313767
135,1189.707602091142
136,1185.8227142795265
137,1176.8319308291332
138,1173.6673459168626
139,1170.526697534064
140,1164.0111295916922
141,1163.8055718796252
142,1162.2538311096448
143,1162.2101078005055
144,1162.1663861362115
145,1162.1226661167009
146,1162.0789477419119
147,1162.0352310117826
148,1161.9915159262512
149,1161.9478024852556
150,1161.9040906887342
151,1161.860380536625
152,1161.8166720288662
153,1161.7729651653958
154,1161.729259946152
155,1158.7073966830324
156,1156.4622998611956
157,1153.647350518575
158,1153.6039509802004
159,1153.5605530744908
160,1152.9952681081108
161,1143.5257749002433
162,1140.6210414591494
163,1137.0299998508074
164,1135.9581870672926
165,1134.6063999662179
166,1134.4473150330186
167,1134.4046377887457
168,1134.3619621499658
169,1134.3192881166185
170,1134.2766156886432
171,1134.2339448659798
172,1134.1912756485676
173,1134.1486080363466
174,1134.105942029256
175,1134.063277627236
176,1126.5282005931676
177,1118.3438680567342
178,1107.536776984205
179,1096.8535920040256
180,1089.3423067904448
181,1081.4340475663114
182,1081.3933646501448
183,1070.1305141865173
184,1059.1403411344038
185,1049.6240987016565
186,1040.7136278590185
187,1038.3122313388612
188,1037.668895641013
189,1037.6298591442567
190,1036.9398655148677
191,1036.9008564437981
192,1036.861848840227
193,1036.822842704099
194,1036.783838035359
195,1036.7448348339517
196,1036.7058330998223
197,1036.6668328329151
198,1036.6278340331753
199,1036.5888367005475
200,1036.5498408349765
201,1036.510846436407
202,1036.4718535047841
203,1036.4328620400524
204,1035.3620266386567
205,1035.3230769249626
206,1035.2841286765338
207,1034.4016471765826
208,1032.4329158850749
209,1029.4421866001587
210,1027.4690217969192
211,1026.5602518161209
212,1026.521633220046
213,1025.48550470837
214,1025.4469265436524
215,1025.4083498302227
216,1025.3697745680265
217,1025.3312007570091
218,1025.292628397116
219,1025.2540574882923
220,1025.2154880304838
221,1025.1769200236356
222,1025.1383534676934
223,1025.0997883626023
224,1025.0612247083081
225,1025.022662504756
226,1024.9841017518913
227,1024.9455424496596
228,1024.9069845980064
229,1024.868428196877
230,1024.8298732462167
231,1023.385435736434
232,1022.6190999985063
233,1021.291959871291
234,1020.0218015854822
235,1017.5719792537358
236,1017.436399850933
237,1017.398124488831
238,1017.3598505666256
239,1017.3215780842629
240,1017.2833070416885
241,1017.2450374388484
242,1017.2067692756883
243,1017.1685025521542
244,1017.1302372681919
245,1017.091973423747
246,1017.0537110187657
247,1017.0154500531937
248,1016.9771905269768
249,1016.9389324400609
250,1014.0441336829742
251,1014.0059859359408
252,1013.9678396240032
253,1013.9296947471076
254,1013.8915513052
255,1009.7089661334485
256,1009.1935528276323
257,1004.0033264044505
258,999.6117747423073
259,996.3414021540447
260,994.7770335807036
261,994.7396106507035
262,994.7021891285323
263,994.6647690141367
264,994.627350307464
265,994.5899330084611
266,994.5525171170751
267,994.5151026332532
268,994.4776895569421
269,994.4402778880891
270,994.4028676266412
271,994.3654587725455
272,994.3280513257489
273,992.5088833681448
274,988.6720934062357
275,987.1751425352611
276,986.9831068898396
277,986.9459771628018
278,986.9088488325626
279,985.0414766671815
280,982.3546581363539
281,980.797155542796
282,980.0083923212361
283,978.0897853634376
284,977.2563412975965
285,975.8736585387984
286,974.3792989101366
287,974.3426433309811
288,974.305989130787
289,974.2693363095025
290,974.2326848670756
291,974.1960348034545
292,974.1593861185873
293,974.1227388124223
294,974.0860928849075
295,974.0494483359911
296,974.0128051656211
297,971.1608461696919
298,967.9304967920222
299,967.1663841471129
300,964.4749323216257
301,964.4386493389466
302,963.7957053358543
303,963.0382552490012
304,962.4929274093552
305,961.4010016524087
306,960.1512435405501
307,957.9076704145236
308,957.5793287165575
309,957.5433051424516
310,957.5072829235315
311,956.6289425899503
312,956.5929547688145
313,956.5569683015194
314,956.5209831880143
315,956.484999428248
316,956.4490170221696
317,956.4130359697284
318,956.3770562708734
319,956.3410779255535
320,956.3051009337179
321,956.2691252953157
322,955.146911022069
323,953.3616235413227
324,953.3257586348179
325,953.28989507753
326,953.2540328694081
327,952.5040910224199
328,951.5326842221789
329,942.2863374845398
330,940.8768126115414
331,938.7853998809328
332,936.8542363722734
333,935.3453772206803
334,935.3101900748215
335,935.2750042526826
336,935.2398197542137
337,935.2046365793651
338,935.169454728087
339,935.1342742003294
340,935.0990949960427
341,935.0639171151771
342,935.0287405576828
343,934.99356532351
344,926.1177731310689
345,921.0222749714856
346,920.9876266523536
347,920.9529796366711
348,920.918333924389
349,920.8836895154584
350,920.8490464098302
351,913.8375022193084
352,910.5805550247806
353,899.3075994824494
354,887.4429450066751
355,885.1020408723073
356,884.4817847305887
357,882.2105617585643
358,882.1773735133762
359,882.1441865167105
360,882.1110007685202
361,882.0778162687583
362,882.0446330173778
363,882.0114510143319
364,881.9782702595735
365,881.9450907530556
