,th_demand
0,148.37793469552113
1,142.64895113638974
2,157.827950061906
3,142.156767434799
4,139.04289126298795
5,127.09321749777092
6,134.25639266897238
7,122.26875406421362
8,121.37082607656224
9,122.93642252840701
10,139.33350475753605
11,142.1910250472251
12,149.4293123683479
13,166.0794715145338
14,153.79138227587669
15,133.45205071680942
16,134.76140904472902
17,138.60406102856982
18,157.20498755924788
19,150.48201840409243
20,141.2078779832671
21,141.47636818283968
22,135.0103976331978
23,131.06888886560114
24,121.50919242672143
25,131.54358231598985
26,127.53207187290553
27,127.64281294933933
28,124.07983848310946
29,129.45426899307543
30,130.87498547963133
31,134.43054969104298
32,122.34536421286019
33,125.66121761826955
34,140.34751742983067
35,147.48019722500254
36,148.4522155554763
37,149.73660083806175
38,146.33515240479235
39,136.31612142045623
40,145.81008687866958
41,145.2655632584941
42,147.49238132021628
43,153.07701944765822
44,156.44100848837004
45,146.4553572322348
46,136.03012576245087
47,143.37877555389363
48,135.66649300002493
49,139.68498282699557
50,134.92719149558926
51,131.04261722839476
52,135.26831286990665
53,137.91488660590304
54,139.93040554919548
55,136.73210258759514
56,125.96593685738819
57,128.13271338330313
58,147.74495056904806
59,147.63074547550767
60,144.3328231702331
61,149.78652092060906
62,150.3198608048224
63,140.00544229770924
64,155.9265366398593
65,179.27517769479502
66,171.28144015725712
67,168.6335724881218
68,177.0242132715685
69,177.4973582460732
70,176.73605651143936
71,181.774322015993
72,173.30478371438375
73,164.41692446146544
74,163.54873503581305
75,163.38575894612276
76,159.72625001265072
77,161.49939184776954
78,156.377180962939
79,163.96128673526766
80,186.2732194103705
81,185.90596060964808
82,188.01566480296296
83,186.09539413654915
84,193.34195105327169
85,172.9191156363436
86,181.19560145400533
87,179.65886342622943
88,166.68351382998205
89,182.94758395832187
90,187.83302550707052
91,184.42216018813457
92,173.92986264694437
93,198.82640663875532
94,182.34811123512318
95,172.87696374717405
96,189.19460077971019
97,186.19037681848943
98,186.16637743084976
99,176.98153478563194
100,170.3335341261055
101,174.75085506434306
102,173.42417835165503
103,183.76941962008368
104,194.4400464815788
105,202.77953646953873
106,205.4761542373149
107,213.8214359483
108,193.81555523223025
109,189.12150878918172
110,187.68073297884897
111,191.26823929799534
112,199.27099319981428
113,211.03533659784503
114,214.1065399942925
115,204.5330614322142
116,205.18480296538812
117,216.84065136436976
118,201.54094721902248
119,211.16034149764408
120,218.94258342337858
121,200.10348198880956
122,199.23915952822864
123,207.82005941200393
124,207.40818710469858
125,203.62165381767886
126,201.85542039844646
127,208.99299607764195
128,213.77022579864183
129,238.80078361459678
130,232.23786216059838
131,230.44370341258025
132,248.66010417779285
133,244.458633657708
134,243.11670361182306
135,219.62837113182965
136,217.79721291437113
137,230.20668580923768
138,222.28310565186663
139,214.31023045447924
140,214.37076604523375
141,207.91962056372836
142,211.37145562580767
143,208.65993469992478
144,229.34363263855056
145,204.40980989967593
146,201.0048182695857
147,195.57801366666033
148,189.19346159736202
149,188.4123466869871
150,194.41545966693545
151,187.632217194582
152,201.2468431740562
153,206.7755459694847
154,210.17171882976925
155,235.30679027883457
156,237.62562032697116
157,232.6605926130888
158,220.8474566329508
159,210.63347908298067
160,211.43871652850646
161,194.7154180802569
162,203.40884923704587
163,207.15131521029548
164,206.38222471480495
165,220.59041377189658
166,212.9172060230931
167,208.61651125483516
168,208.6115493422815
169,193.0686969253701
170,187.01126731997232
171,183.8353112058676
172,177.46708229270985
173,176.18831805805866
174,182.46969945831984
175,177.31932300550372
176,195.29983699337802
177,202.52740081965095
178,214.74567865242628
179,212.9476296774773
180,207.1599888197515
181,208.9796254920968
182,196.3073456693685
183,197.74644496325402
184,200.08579788169985
185,201.02031920521097
186,206.27630192429982
187,209.18623431071953
188,203.76086059235465
189,194.89704983275112
190,181.3970197744866
191,184.83194961934055
192,193.69562520704918
193,185.62650701433063
194,199.30573668070858
195,199.84850088600092
196,184.6722571204172
197,184.5495488290739
198,200.3635780992856
199,187.76174211062602
200,174.26288282434356
201,170.7066319843531
202,172.06248537766785
203,186.89700962669627
204,202.0809199392632
205,216.62810186773103
206,198.14462075594264
207,194.77656668910393
208,183.02368052733667
209,206.32949907446965
210,192.9054632965862
211,202.66393501568564
212,196.7691068098334
213,198.45037732547632
214,184.9810368308231
215,190.54343178580302
216,171.87168148814882
217,181.83524685742776
218,172.1740970103845
219,167.4873691361247
220,172.810031045634
221,169.41746937646732
222,178.49133601159997
223,165.4009523062081
224,161.26255980306647
225,172.18134897108652
226,184.48114682951532
227,187.7805603754589
228,197.38163370989946
229,193.30412924690498
230,204.55040869744633
