,hp_direct_qw
0,160.7649968832634
1,155.47191785999618
2,157.38316212184804
3,153.86252810082897
4,150.91935475567777
5,151.58789789352073
6,141.8532205019635
7,142.5151381813015
8,141.3320739458016
9,132.5808488436582
10,134.69155052908778
11,154.73477799392757
12,156.88052500765986
13,170.08908002874807
14,165.5534117732503
15,146.17627674520972
16,142.91637987324117
17,159.5638031411896
18,163.9284448623032
19,158.50515981445253
20,153.5547682244571
21,156.7020489025557
22,146.9258086015278
23,141.1694651205744
24,139.23232427187776
25,137.98098801939597
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405086
33,137.313404100539
34,146.5976110259744
35,150.4864989955519
36,152.90560660779371
37,157.51009832426578
38,143.61352375535458
39,148.40778696705084
40,151.37612454333527
41,148.57894770661363
42,159.2593085863017
43,161.37253076778944
44,153.99422414321128
45,148.49091280702706
46,142.24651906203428
47,157.29026537752037
48,139.34170464351698
49,137.68745591172674
50,148.8771655610484
51,142.767061077632
52,137.59708667539297
53,151.51485513005298
54,151.9150522841687
55,146.47607152827132
56,138.35675292475662
57,142.98684050875198
58,154.32675384039993
59,158.22757237723616
60,159.91141265343293
61,152.2944227460984
62,151.14391162578474
63,165.53197045549337
64,185.94516418279557
65,175.2690212796185
66,163.5172733302571
67,174.44086563501082
68,161.11337200800875
69,185.73079976064705
70,185.94516418279557
71,185.94516418279557
72,185.15023264648386
73,175.36285132944704
74,169.45520580589337
75,169.03668516955267
76,169.8347627034324
77,180.1573288379252
78,171.5514531816001
79,185.94516418279557
80,185.94516418279557
81,185.94516418279557
82,185.94516418279557
83,185.94516418279557
84,185.94516418279557
85,185.94516418279557
86,185.94516418279557
87,185.94516418279557
88,185.94516418279557
89,177.50379609149215
90,172.52233599916812
91,169.34857134402313
92,182.26898494297583
93,185.94516418279557
94,185.94516418279557
95,185.94516418279557
96,185.94516418279557
97,185.94516418279557
98,185.94516418279557
99,185.12141656209874
100,181.81774668801327
101,185.94516418279557
102,181.44177616681614
103,185.94516418279557
104,185.94516418279557
105,185.94516418279557
106,185.94516418279557
107,185.94516418279557
108,185.94516418279557
109,185.94516418279557
110,185.94516418279557
111,185.94516418279557
112,185.94516418279557
113,184.70826180766764
114,185.2416560835727
115,185.94516418279557
116,174.96810163079874
117,185.94516418279557
118,185.94516418279557
119,185.94516418279557
120,185.94516418279557
121,185.94516418279557
122,185.94516418279557
123,185.94516418279557
124,185.94516418279557
125,185.94516418279557
126,185.94516418279557
127,185.94516418279557
128,185.94516418279557
129,185.94516418279557
130,185.94516418279557
131,185.94516418279557
132,185.94516418279557
133,185.94516418279557
134,185.94516418279557
135,185.94516418279557
136,185.94516418279557
137,185.94516418279557
138,170.43253587902316
139,169.51434034188952
140,185.94516418279557
141,185.94516418279557
142,185.94516418279557
143,185.94516418279557
144,185.94516418279557
145,185.94516418279557
146,185.94516418279557
147,185.94516418279557
148,185.94516418279557
149,185.94516418279557
150,185.94516418279557
151,185.94516418279557
152,65.85719739025714
153,185.94516418279557
154,185.94516418279557
155,94.41646794095604
156,101.50462231145957
157,185.94516418279557
158,185.94516418279557
159,185.94516418279557
160,67.53869279331619
161,52.62957699957954
162,69.03971454054894
163,151.2184934224348
164,159.64859968080066
165,177.0716588718511
166,185.94516418279557
167,185.94516418279557
168,185.94516418279557
169,185.94516418279557
170,185.94516418279557
171,185.94516418279557
172,185.94516418279557
173,185.94516418279557
174,185.94516418279557
175,185.94516418279557
176,65.58833111764656
177,75.97278459747213
178,79.05474815730997
179,81.36046564838682
180,69.15411495077589
181,79.97608960542726
182,65.13215454284264
183,53.125501884499556
184,53.62653152258261
185,50.37483354331769
186,64.5576304415548
