,stes_discharge
0,75.82222222222217
1,59.37777777777777
2,74.48080808080805
3,54.228282828282765
4,51.73030303030299
5,42.034343434343405
6,58.20202020202014
7,50.65454545454533
8,56.0353535353535
9,53.41232601708972
10,72.88140261127721
11,74.55330470352638
12,86.31960152912896
13,113.47274715716371
14,101.52929292929294
15,82.17272727272729
16,93.1434343434343
17,105.18383838383838
18,135.41111111111113
19,125.70909090909086
20,111.93535353535347
21,104.95353535353522
22,91.0424242424242
23,71.23434343434343
24,47.7676767676767
25,51.59999999999998
26,41.90303030303028
27,39.46161616161608
28,34.260606060606094
29,41.36868686868687
30,41.04848484848494
31,54.07474747474748
32,53.783178239455886
33,55.64350792057638
34,68.08232911179822
35,79.400767353439
36,91.8192853807704
37,105.00663525209328
38,105.3030303030303
39,92.0737373737374
40,108.48282828282827
41,111.13737373737362
42,114.6181818181818
43,125.59494949494933
44,132.1808080808081
45,111.34949494949487
46,90.92828282828287
47,85.69292929292921
48,67.98787878787878
49,62.54040404040396
50,51.40404040404035
51,43.719191919191815
52,47.64646464646457
53,51.39191919191915
54,51.42727272727274
55,56.26161616161613
56,55.47763262611859
57,44.98625627458795
58,42.07791220078933
59,30.46084878862459
60,42.175174436648646
61,86.99203253793412
62,106.96161616161622
63,91.88282828282816
64,115.60707070707065
65,155.06868686868677
66,141.7757575757576
67,140.89292929292918
68,154.11111111111126
69,148.38080808080815
70,142.04646464646456
71,131.17777777777766
72,102.47373737373725
73,82.01515151515149
74,78.03131313131311
75,76.23333333333335
76,73.23838383838377
77,80.11111111111109
78,82.51515151515142
79,101.65555555555548
80,135.81958164469256
81,100.48672881507096
82,73.26877054748535
83,56.55300179060687
84,81.68375304988223
85,95.74531762283877
86,181.19560145400533
87,179.65886342622943
88,166.68351382998205
89,182.94758395832187
90,187.83302550707052
91,163.06565656565652
92,149.55656565656562
93,179.67676767676767
94,151.46161616161623
95,121.33838383838379
96,121.43838383838383
97,107.14545454545458
98,103.73535353535351
99,90.96161616161619
100,84.52020202020196
101,94.46363636363643
102,102.26565656565641
103,123.95858585858576
104,194.4400464815788
105,202.50378781010116
106,201.59540094026934
107,212.32671635283123
108,193.41632513972215
109,189.12150878918172
110,187.68073297884897
111,191.26823929799534
112,199.27099319981428
113,211.03533659784503
114,194.0939393939393
115,179.33232323232312
116,183.4232323232322
117,191.42727272727274
118,164.88585858585853
119,160.4141414141414
120,148.28787878787873
121,116.44040404040405
122,112.23131313131304
123,120.32121212121207
124,120.59090909090902
125,121.51313131313132
126,129.55454545454546
127,147.28686868686862
128,159.36215103877592
129,170.92584109511773
130,151.24118943255894
131,146.8840909209086
132,177.19893820890923
133,186.66895132696496
134,195.2727272727271
135,178.0222222222222
136,217.79721291437113
137,230.20668580923768
138,202.2343434343434
139,191.44949494949483
140,192.53939393939396
141,176.97676767676762
142,177.9050505050505
143,156.80505050505047
144,161.53434343434338
145,122.10606060606055
146,115.17272727272723
147,107.82222222222215
148,101.98181818181814
149,106.51818181818174
150,123.15353535353532
151,187.632217194582
152,201.2468431740562
153,206.7755459694847
154,210.17171882976925
155,235.30679027883457
156,237.62562032697116
157,232.6605926130888
158,220.8474566329508
159,210.63347908298067
160,211.43871652850646
161,194.7154180802569
162,203.40884923704587
163,207.15131521029548
164,206.38222471480495
165,220.59041377189658
166,187.57070707070696
167,162.58585858585852
168,140.8060606060605
169,111.83636363636361
170,101.88282828282829
171,96.68888888888891
172,90.73939393939389
173,94.38686868686871
174,182.46969945831984
175,177.31932300550372
176,195.29983699337802
177,202.52740081965095
178,214.74567865242628
179,212.9476296774773
180,207.1599888197515
181,208.9796254920968
182,196.3073456693685
183,197.74644496325402
184,200.08579788169985
185,201.02031920521097
186,206.27630192429982
187,209.18623431071953
188,203.76086059235465
189,194.89704983275112
190,145.03030303030295
191,133.19999999999993
192,132.1878787878788
193,110.14848484848481
194,120.69696969696963
195,118.09090909090902
196,99.41515151515146
197,99.93333333333334
198,116.46666666666663
199,111.76363636363637
200,110.53522826813087
201,99.90893383622404
202,171.23262736372988
203,185.47705331138104
204,201.94201433273645
205,173.78589239412761
206,162.4585858585859
207,160.38585858585856
208,145.13333333333335
209,206.32949907446965
210,192.9054632965862
211,202.66393501568564
212,173.29191919191916
213,168.24949494949487
214,144.32929292929288
215,136.0262626262625
216,104.50101010101005
217,106.30909090909086
218,90.3454545454545
219,81.87676767676761
220,87.33030303030303
221,83.72626262626252
222,91.87474747474737
223,85.62929292929287
224,91.4100155117513
225,86.96334806294298
226,82.2114779763021
227,82.06025549375659
228,113.000812350374
229,137.8329515710615
230,175.3666666666666
231,148.46363636363628
232,156.01111111111112
233,192.33838383838378
234,214.33030303030293
235,209.35151515151506
236,210.53333333333333
237,216.33838383838383
238,201.24141414141405
239,171.72727272727266
240,144.88484848484842
241,121.96868686868677
242,116.74949494949487
243,117.17979797979788
244,118.97070707070704
245,123.19797979797974
246,112.26666666666661
247,133.43030303030298
248,156.41449137076913
249,144.82778175939214
250,130.7059174570264
251,121.96314692738854
252,119.21278335912858
253,148.39172831078335
254,152.83838383838378
255,165.4959595959595
256,179.89898989898984
257,203.43131313131323
258,205.55454545454543
259,179.49797979797978
260,171.5151515151515
261,174.39292929292924
262,162.9010101010101
263,167.7181818181817
264,139.2696969696969
265,117.50404040404045
266,111.21818181818176
267,116.57575757575742
268,108.39292929292921
269,108.91515151515149
270,125.40505050505048
271,132.28585858585856
272,221.62401384283163
273,175.3408136503411
274,172.1783921926833
275,169.05330470352646
276,154.85309989855799
277,164.90001988443643
278,149.56262626262614
279,159.64343434343417
280,211.0560974691753
281,214.41619243442742
282,213.5286327247509
283,185.72828282828286
284,184.94040404040405
285,184.59696969696964
286,182.24848484848482
287,150.23636363636354
288,143.6767676767676
289,130.69898989898985
290,128.7212121212121
291,116.25151515151512
292,115.81717171717173
293,115.33535353535345
294,113.28181818181811
295,129.73939393939398
296,161.69158911972798
297,174.74777897462565
298,159.60221904638482
299,184.48566770472263
300,180.37404160088832
301,159.88511294312627
302,162.4343434343434
