,stes_discharge_qc
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,4.691541793285623
65,20.076279191187446
66,44.19477782409513
67,19.09638295425928
68,39.0383787055939
69,14.170760203835
70,13.323246051353113
71,16.11009892440709
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.9911413187905673
80,14.664943774085238
81,17.40885520149622
82,12.305505812395431
83,19.592322267801904
84,27.347127778640544
85,15.830517442333512
86,8.111389160599055
87,6.4949618132027
88,3.5242874922807625
89,21.87442931660485
90,28.792402711487654
91,33.25624581491769
92,7.775636748949161
93,10.185189941002243
94,7.246110479851295
95,5.093715185131603
96,11.030110006954901
97,4.497141495044701
98,3.773500642847252
99,0.0
100,0.0
101,5.722276365662223
102,0.0
103,27.33720453571898
104,26.952962674738977
105,45.084392621430794
106,52.836405336796005
107,46.32054936365156
108,23.594868090221212
109,29.39907428786692
110,22.88746490247124
111,14.490631723410235
112,19.645114584286723
113,35.12445217248801
114,36.515855988551245
115,32.637389382697215
116,47.74189229040059
117,43.92630276309739
118,36.68613249450222
119,53.231021791995154
120,43.66481504640773
121,34.61335509556622
122,32.772659019428126
123,35.03159981373795
124,27.351271409792826
125,40.86177387478396
126,34.917015375864125
127,52.743696559790166
128,50.6803701560774
129,67.10519084691333
130,61.53884934266695
131,71.20796579902039
132,78.23268028576919
133,61.823241813401516
134,66.1367178210116
135,54.27437391087462
136,38.25483714759112
137,45.85505166895975
138,70.64960279158431
139,69.95173314967333
140,33.00445645128367
141,37.47619892143115
142,39.786651436642295
143,35.96488622563257
144,60.94121072883709
145,40.08971405144944
146,15.992717064771202
147,17.465341911204717
148,17.538004881536605
149,21.31375794517888
150,13.443431587682996
151,34.06747965003819
152,159.49184666664448
153,40.25558054602061
154,45.56634068638231
155,158.99871155925683
156,158.6935459799908
157,62.51380888068672
158,45.23129896379435
159,37.731122644559505
160,158.07790058665893
161,157.77443752558946
162,157.4715355475207
163,78.1559644293099
164,60.84989359039927
165,49.661520796365586
166,41.018243265018334
167,31.588218850141768
168,38.1728326731187
169,19.529684436330353
170,19.287552173965203
171,10.327450243558147
172,6.999583893510124
173,17.136023073226077
174,4.42848784834851
175,24.94534994327941
176,156.2381005526045
177,155.93803915933594
178,155.6385325596107
179,155.3395797276525
180,155.04117963958134
181,154.74333127341072
182,154.44603360904358
183,154.1492856282689
184,153.85308631475831
185,153.55743465406263
186,153.26232963360826
187,55.832108979015196
188,49.685763378306724
189,23.8382692137074
190,9.656532142162092
191,22.449583556943555
192,35.211540898039075
193,26.08037696725096
194,31.31225524284672
195,29.83250542381705
196,8.73530244946745
197,21.0842799551599
198,25.442504450927732
199,35.83958736069967
200,9.084083386170061
201,5.187472534827128
202,4.001632732063075
203,29.921499359747404
204,59.262477607329174
205,63.14017241062467
206,40.51402418198281
207,25.643108590323234
208,16.40403056781606
209,29.53892524156092
210,29.167816078620305
211,59.868035749153144
212,23.159436842140572
213,19.45363634034225
214,6.428805391003478
215,17.089489835596275
216,13.58800673701137
217,7.351609048816934
218,0.0
219,0.0
220,0.0
221,0.0
222,1.3044505970699762
223,0.2301002092797901
224,0.0
225,0.0
226,9.808295668731912
227,12.313333376140628
228,30.56236279478378
229,20.34180340932809
230,34.30847305402792
231,18.104980210667108
232,29.253122233319953
233,91.83093683507266
234,109.68047771849464
235,91.5013841420525
236,95.70837612591905
237,69.87974041488474
238,61.30808705889996
239,57.15082198024492
240,48.00974569737067
241,45.62264907726882
242,30.010227453242262
243,29.527809151987714
244,34.903510661758276
245,34.913214775910674
246,21.033376663579883
247,35.60905695284612
248,42.979318887538554
249,46.079263498566235
250,47.705852018956634
251,57.472361020361035
252,50.55703029897933
253,40.44594462977655
254,42.393327396364256
255,44.19592708730526
256,28.537637982625913
257,46.28955233336393
258,66.35943131098733
259,23.285402363972356
260,15.068597205744409
261,28.644683287321296
262,22.70817717987562
263,37.822252696895525
264,30.320640612686077
265,18.179167891978814
266,23.811706686676562
267,28.47750360119571
268,26.43194844904481
269,29.744511781446374
270,33.119040437734874
271,31.438534615811953
272,49.63050847494946
273,57.21921369746357
274,52.502048373073684
275,52.90191959182434
276,42.82513477392711
277,55.617548949406206
278,31.210502327060997
279,37.24727060711652
280,28.317955806032412
281,32.69132824555286
282,50.68035668701989
283,47.06205970035176
284,47.29544142185752
285,44.08734288139318
286,37.074266917267906
287,35.602951516497136
288,34.88731348204969
289,20.131883463231446
290,22.378286852134924
291,19.826128370013542
292,22.645681330398922
293,19.171290606637708
294,9.967981195369735
295,24.70942862951395
296,50.09382413107257
297,52.290855040202736
298,51.5612478430888
299,63.090688563288495
300,56.9697340914832
301,47.03031961462532
302,35.275085416101234
303,23.254548855420918
304,15.425287167435645
305,63.38591403939302
306,62.95742269547566
307,85.55746689787088
308,73.15320743044707
309,30.981773290364053
310,36.411221277288185
311,53.633364443072246
312,39.150954154262365
313,29.71565186261297
314,27.923043423048778
315,22.41194157895934
316,22.618759269390072
317,26.8228076051372
318,10.39209810515569
319,33.11521787880941
320,142.64908530257392
321,142.37414909398123
322,142.09972122413762
323,141.8258007531588
324,141.55238674289797
325,141.2794782569429
326,42.094734925269364
327,28.093775882898164
328,22.25492288939775
329,140.7940587495796
330,140.5225523616078
331,140.25154797087524
332,60.889651586839314
333,37.39343985640423
334,40.16281422973812
335,58.26604512859729
336,64.95218381137319
337,56.025212048033325
338,51.02983315466321
339,44.18354853983814
340,43.82112167402334
341,44.92997548387955
342,38.087650521843905
343,71.434203272634
344,138.68935598932404
345,138.42174105666135
346,138.15462092619597
347,137.8879946830716
348,63.21709141217513
349,59.68766436638782
350,45.409688205826804
351,37.198497321741925
352,34.148472459875784
353,137.11125403458664
354,136.84655690739552
355,136.58234918757373
356,66.39266481374153
357,58.14042766010719
358,44.24764167359537
359,44.81540150938949
360,42.32386932369793
361,35.93945376870055
362,31.644455546068734
363,31.916400536207366
364,31.101180733702645
365,37.97286282890044
366,48.39486399034916
367,39.69811246456202
368,25.752673768535118
369,33.258421865423436
370,52.97075214011283
371,55.71838958875923
372,58.49332009255277
373,60.20877383472679
