,stes_soc
0,811.3498617476389
1,811.2539279985583
2,811.1580055926536
3,811.0620945285837
4,810.9661948050074
5,810.8703064205838
6,810.7744293739722
7,810.678563663832
8,810.5827092888229
9,810.4868662476046
10,810.3910345388368
11,810.2952141611798
12,810.1994051132938
13,810.103607393839
14,810.007821001476
15,809.9120459348655
16,809.8162821926684
17,809.7205297735456
18,809.6247886761585
19,809.529058899168
20,809.4333404412359
21,809.3376333010239
22,809.2419374771935
23,809.1462529684068
24,809.0505797733259
25,808.9549178906132
26,808.859267318931
27,808.7636280569419
28,808.6680001033087
29,808.5723834566943
30,808.4767781157617
31,808.3811840791741
32,808.285601345595
33,808.1900299136877
34,808.0944697821161
35,807.9989209495441
36,807.9033834146355
37,807.8078571760547
38,807.7123422324657
39,807.6168385825333
40,807.5213462249221
41,806.2960556757546
42,806.2007194870934
43,806.1053945709526
44,799.6271756073448
45,798.3783325142209
46,798.283932514623
47,798.1895436768508
48,798.0951659995848
49,798.0007994815052
50,797.9064441212927
51,797.8120999176278
52,797.7177668691917
53,797.6234449746651
54,797.5291342327291
55,797.4348346420653
56,797.340546201355
57,797.2462689092799
58,797.1520027645219
59,797.0577477657627
60,796.9635039116845
61,796.8692712009696
62,796.7750496323004
63,796.6808392043594
64,796.5866399158293
65,788.2499085640994
66,788.1567061461215
67,788.0635147483677
68,787.9703343695351
69,787.8771650083207
70,787.784006663422
71,787.6908593335363
72,787.5977230173612
73,787.5045977135944
74,787.4114834209339
75,787.3183801380776
76,787.2252878637238
77,787.1322065965709
78,787.0391363353173
79,786.9460770786617
80,786.853028825303
81,786.7599915739402
82,786.6669653232723
83,786.5739500719986
84,786.4809458188187
85,786.3879525624319
86,785.3286415751509
87,775.8848826642311
88,775.5856738158652
89,775.4939688129679
90,771.4164160871114
91,764.1818798937801
92,764.0915232718418
93,750.678653374714
94,748.028773050145
95,747.9403263664119
96,747.8518901405865
97,747.7634643714323
98,747.6750490577128
99,747.586644198192
100,747.4982497916334
101,747.4098658368014
102,747.32149233246
103,747.2331292773736
104,747.1447766703067
105,747.0564345100238
106,746.9681027952898
107,746.8797815248697
108,746.7914706975284
109,746.7031703120313
110,746.6148803671435
111,746.5266008616308
112,746.4383317942585
113,746.3500731637927
114,742.058875961214
115,735.4421686925006
116,731.1182244750343
117,731.0317772891755
118,730.9453403248043
119,730.8589135807123
120,730.7724970556909
121,730.6860907485319
122,730.5996946580271
123,730.5133087829686
124,730.4269331221484
125,730.3405676743588
126,730.2542124383922
127,730.1678674130412
128,730.0815325970985
129,729.9952079893569
130,729.9088935886094
131,729.8225893936492
132,729.7362954032694
133,729.6500116162637
134,729.5637380314254
135,729.4774746475482
136,724.4724620867878
137,713.1336934393584
138,709.8280538061197
139,708.4558260387946
140,698.3776469414969
141,698.2950709910914
142,698.21250480444
143,698.1299483803881
144,698.0474017177816
145,697.9648648154661
146,697.8823376722876
147,697.7998202870922
148,697.7173126587262
149,697.6348147860358
150,697.5523266678676
151,697.4698483030683
152,697.3873796904844
153,697.3049208289631
154,697.2224717173513
155,697.1400323544962
156,697.057602739245
157,696.0073867285139
158,695.9250910369205
159,695.8428050759436
160,693.1573970521246
161,691.7354684433727
162,689.3023261604188
163,681.4516570880185
164,681.371082461259
165,679.0246083856641
166,678.9443207323698
167,678.864042572262
168,678.7837739042182
169,678.7035147271162
170,678.6232650398337
171,678.5430248412486
172,678.462794130239
173,678.3825729056831
174,678.3023611664593
175,678.222158911446
176,678.1419661395216
177,678.0617828495651
178,677.9816090404553
179,677.9014447110711
180,677.8212898602917
181,677.7411444869963
182,677.6610085900643
183,675.4935944909471
184,671.756841388514
185,670.3978142928325
186,670.3185466689224
187,664.2330047851763
188,663.7018913187019
189,663.6234154185903
190,663.5449487974441
191,663.4664914541662
192,663.3880433876595
193,663.3096045968273
194,663.2311750805726
195,663.152754837799
196,663.0743438674099
197,662.9959421683089
198,662.9175497393999
199,662.8391665795866
200,662.7607926877732
201,662.6824280628638
202,662.6040727037627
203,662.5257266093741
204,662.4473897786029
205,662.3690622103536
206,662.2907439035309
207,661.6017855575
208,661.5235579732242
209,659.8614779093854
210,659.7834560985314
211,659.7054435129514
212,659.6274401515548
213,655.3084382253869
214,655.2309547644941
215,655.153480465221
216,655.0760153264844
217,654.9985593472011
218,654.9211125262881
219,654.8436748626625
220,654.7662463552416
221,654.6888270029427
222,654.6114168046834
223,654.5340157593812
224,654.4566238659539
225,654.3792411233195
226,654.301867530396
227,654.2245030861013
228,654.1471477893539
229,654.0698016390721
230,653.9924646341746
231,653.9151367735798
232,653.8378180562066
233,653.760508480974
234,653.6832080468008
235,653.6059167526064
236,653.52863459731
237,653.451361579831
238,653.3740976990889
239,653.2968429540034
240,653.2195973434945
241,653.1423608664818
242,653.0651335218856
243,652.987915308626
244,652.9107062256234
245,652.833506271798
246,652.7563154460706
247,652.6791337473619
248,652.6019611745926
249,652.5247977266837
250,652.4476434025563
251,652.3704982011317
252,652.293362121331
253,652.2162351620759
254,652.1391173222878
255,652.0620086008885
256,651.9849089967998
257,643.5855619081468
258,635.7543906003713
259,632.8535088879449
260,632.0830074593838
261,632.008270166023
